StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Prolific-ID,Q3,Q4,Q5_1,Q5_2,Q5_7,Q6,Q7,Q8,Q9,Q9_9_TEXT,Q10,Q10_11_TEXT,Q11,Q12,Q13,Q14,Q15,Q15_7_TEXT,Q16,Q16_9_TEXT,Q17,Q18,Q19,Q20,Q21,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q33_4_TEXT,Q34,Q35,PROLIFIC_PID
2024-09-30 15:34:49,2024-09-30 15:38:30,IP Address,196.248.86.146,100,220,True,2024-09-30 15:38:30,R_2fcwWLI8W6bIbL9,,,,,-25.7599,28.2604,anonymous,EN,Yes,601bdcd3d8db935e8d968163,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I use them regularly.",10,4,2,Confident,"Yes, but there are some restrictions or guidelines.","Yes, I use them regularly for my work.","ChatGPT,OpenAI API",,"Automating repetitive tasks,Generating content (e.g., text, images, code),Enhancing productivity or workflow,Personalization of products/services,Research and development,Decision-making assistance",,"Yes, I have some concerns, but I believe the benefits outweigh the risks.",Very interested,3-5 hours,"Text generation,Image generation,Speech generation","Self-paced online courses,Instructor-led workshops or webinars,Watching video tutorials",,"Lack of time,Lack of access to resources or training,Uncertainty about where to start",,"No, there is little to no support for employee training.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is very important.",Somewhat satisfied,"Yes, AI has slightly improved my job satisfaction",Very comfortable,Definitely yes,Might or might not,Probably not,Definitely yes,Healthcare and Pharmaceuticals,Other,I do not know,I do not know,South Africa,Female,,High school diploma or equivalent,18-24 years old,601bdcd3d8db935e8d968163
2024-09-30 15:34:26,2024-09-30 15:38:37,IP Address,176.76.227.219,100,250,True,2024-09-30 15:38:37,R_2dXgcfgRbeiCUEP,,,,,46.0503,14.5046,anonymous,EN,Yes,65957d4770ec0aae0dfa7dc7,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I use them regularly.",10,10,2,Somewhat confident,"Yes, I am allowed to use it without restrictions.","Yes, I have used them occasionally for work.","ChatGPT,DALLÂ·E,MidJourney",,"Generating content (e.g., text, images, code),Data analysis and insights,Research and development",,"Yes, I have some concerns, but I believe the benefits outweigh the risks.",Very interested,More than 10 hours,"Text generation,Image generation","Hands-on practice through projects or assignments,Watching video tutorials",,"Lack of access to resources or training,Difficulty understanding the concepts,Concern that AI may not be relevant to my role",,"No, there is little to no support for employee training.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is somewhat important.",Neither satisfied nor dissatisfied,AI has no impact on my job satisfaction,Very comfortable,Definitely yes,Probably not,Probably not,Definitely yes,Finance and Insurance,Sales & Marketing,101-250 employees,â‚¬10 million to â‚¬50 million,Slovenia,Male,,Master's degree,35-44 years old,65957d4770ec0aae0dfa7dc7
2024-09-30 15:35:39,2024-09-30 15:38:41,IP Address,212.181.9.154,100,182,True,2024-09-30 15:38:42,R_8wTrF85oQmbuaoX,,,,,56.0854,12.9256,anonymous,EN,Yes,61003647d0809aa2668cd431,"I can use AI tools such as ChatGPT, but I cannot code",Rarely,3,1,2,Not very confident,"Yes, but there are some restrictions or guidelines.",Rarely,ChatGPT,,"Automating repetitive tasks,Decision-making assistance",,"Yes, I see significant issues or concerns with using AI in my role.",Somewhat interested,1-3 hours,Text generation,Hands-on practice through projects or assignments,,Lack of time,,"Some support is provided, but it's limited.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is somewhat important.",Somewhat satisfied,AI has no impact on my job satisfaction,Somewhat comfortable,Probably yes,Might or might not,Probably not,Might or might not,Manufacturing and Engineering,Engineering,10-49 employees,I do not know,Sweden,Male,,Bachelor's degree,25-34 years old,61003647d0809aa2668cd431
2024-09-30 15:34:38,2024-09-30 15:38:49,IP Address,90.166.176.110,100,251,True,2024-09-30 15:38:49,R_2qxwbZQIMMytCjb,,,,,41.3705,2.1627,anonymous,EN,Yes,66963403ba8b89e2a6ddfd68,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I have used them occasionally.",10,5,0,Neutral,"Yes, but there are some restrictions or guidelines.","Yes, I have used them occasionally for work.","ChatGPT,DALLÂ·E,Microsoft Copilot",,"Automating repetitive tasks,Generating content (e.g., text, images, code),Data analysis and insights,Research and development",,"No, I donâ€™t see any problems with using AI in my role.",Somewhat interested,3-5 hours,Image generation,Self-paced online courses,,Lack of time,,"Some support is provided, but it's limited.","No, I have not participated, but such opportunities were offered within the last year.","Yes, it is very important.",Somewhat satisfied,"Yes, AI has slightly improved my job satisfaction",Somewhat comfortable,Probably yes,Probably yes,Might or might not,Probably yes,Consulting,Finance & Accounting,More than 250 employees,More than â‚¬50 million,Spain,Female,,Bachelor's degree,18-24 years old,66963403ba8b89e2a6ddfd68
2024-09-30 15:34:13,2024-09-30 15:38:49,IP Address,31.10.143.8,100,275,True,2024-09-30 15:38:50,R_8maiGNDsTaQFDSs,,,,,47.4663,8.3471,anonymous,EN,Yes,6606e923093ba1333d58a966,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I have used them occasionally.",10,5,4,Somewhat confident,"No, it is banned at my workplace.","No, I do not use them at work.",None of the above,,None of the above,,"No, I donâ€™t see any problems with using AI in my role.",Very interested,3-5 hours,"Text generation,Image generation","Self-paced online courses,Instructor-led workshops or webinars,Hands-on practice through projects or assignments,Watching video tutorials",,Lack of access to resources or training,,Iâ€™m not sure.,"No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is somewhat important.",Neither satisfied nor dissatisfied,AI tools are not being used in my company,Very comfortable,Probably yes,Probably yes,Might or might not,Might or might not,Hotel and Food Services,Customer Service,Fewer than 10 employees,I do not know,Switzerland,Female,,Bachelor's degree,35-44 years old,6606e923093ba1333d58a966
2024-09-30 15:34:55,2024-09-30 15:38:59,IP Address,193.254.246.172,100,244,True,2024-09-30 15:38:59,R_8gVztvNJ2EEz8NH,,,,,52.4264,20.7164,anonymous,EN,Yes,603e80821e9e5ed5aa62a889,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I have used them occasionally.",5,2,2,Neutral,"Yes, I am allowed to use it without restrictions.",Rarely,ChatGPT,,"Generating content (e.g., text, images, code)",,"No, I donâ€™t see any problems with using AI in my role.",Neutral,1-3 hours,Text generation,Self-paced online courses,,Lack of time,,"Some support is provided, but it's limited.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is somewhat important.",Neither satisfied nor dissatisfied,AI has no impact on my job satisfaction,Neutral,Probably yes,Might or might not,Definitely not,Might or might not,"Education (K-12, College, University, Adult)",Other,Fewer than 10 employees,"Less than â‚¬500,000",Poland,Female,,Master's degree,18-24 years old,603e80821e9e5ed5aa62a889
2024-09-30 15:34:04,2024-09-30 15:39:02,IP Address,147.161.163.86,100,297,True,2024-09-30 15:39:02,R_2e82WqU5cxaZMoE,,,,,-26.2309,28.0583,anonymous,EN,Yes,6167efaf1a027420f7e6a651,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I have used them occasionally.",7,0,0,Neutral,Iâ€™m not sure.,"Yes, I have used them occasionally for work.","ChatGPT,Microsoft Copilot",,"Automating repetitive tasks,Enhancing productivity or workflow,Research and development,Decision-making assistance",,"Yes, I see significant issues or concerns with using AI in my role.",Somewhat interested,1-3 hours,"Text generation,Image generation,Speech generation","Self-paced online courses,Instructor-led workshops or webinars",,"Lack of time,Lack of access to resources or training,Difficulty understanding the concepts,Uncertainty about where to start",,"Some support is provided, but it's limited.","Yes, I have participated in company-funded AI training or conferences within the last year.","Yes, it is very important.",Somewhat satisfied,"Yes, AI has slightly improved my job satisfaction",Very comfortable,Probably yes,Probably yes,Might or might not,Probably not,Healthcare and Pharmaceuticals,Other,More than 250 employees,I do not know,South Africa,Female,,Bachelor's degree,25-34 years old,6167efaf1a027420f7e6a651
2024-09-30 15:35:17,2024-09-30 15:39:12,IP Address,79.32.245.120,100,234,True,2024-09-30 15:39:13,R_2Orb9wGGUUIw0Py,,,,,44.0545,12.5686,anonymous,EN,Yes,5ea889a09796592de2e7af1e,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I have used them occasionally.",7,5,4,Neutral,Iâ€™m not sure.,Rarely,ChatGPT,,"Generating content (e.g., text, images, code),Customer support (e.g., chatbots)",,"No, I donâ€™t see any problems with using AI in my role.",Somewhat interested,1-3 hours,Text generation,Self-paced online courses,,"Lack of time,Lack of access to resources or training",,"Some support is provided, but it's limited.","No, I have not participated, and no such opportunities were offered in the past year.","No, it is not very important.",Neither satisfied nor dissatisfied,AI has no impact on my job satisfaction,Somewhat comfortable,Probably yes,Might or might not,Might or might not,Might or might not,Other,Sales & Marketing,10-49 employees,I do not know,Italy,Female,,High school diploma or equivalent,35-44 years old,5ea889a09796592de2e7af1e
2024-09-30 15:35:05,2024-09-30 15:39:14,IP Address,46.12.199.126,100,249,True,2024-09-30 15:39:15,R_8cBHAStiQUWJKD3,,,,,40.6439,22.9358,anonymous,EN,Yes,5dde58915a40f2dbc569e398,I am aware of AI but I haven't used any AI tools,Rarely,5,1,0,Neutral,"Yes, I am allowed to use it without restrictions.","Yes, I have used them occasionally for work.",ChatGPT,,"Enhancing productivity or workflow,Personalization of products/services",,"Yes, I see significant issues or concerns with using AI in my role.",Somewhat interested,3-5 hours,Text generation,"Self-paced online courses,Instructor-led workshops or webinars",,Uncertainty about where to start,,"Yes, there is sufficient support and resources for training.","Yes, I have participated in company-funded AI training or conferences within the last year.","Yes, it is somewhat important.",Somewhat satisfied,"Yes, AI has significantly improved my job satisfaction",Somewhat comfortable,Probably yes,Probably yes,Definitely not,Probably yes,Telecommunications,Research & Development,More than 250 employees,More than â‚¬50 million,Greece,Male,,Bachelor's degree,25-34 years old,5dde58915a40f2dbc569e398
2024-09-30 15:35:36,2024-09-30 15:39:16,IP Address,99.235.183.156,100,219,True,2024-09-30 15:39:17,R_7OBnuBHtk4poVbP,,,,,43.7627,-79.7606,anonymous,EN,Yes,66699fb6c445834548a9b958,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I use them regularly.",9,0,0,Somewhat confident,"No, it is banned at my workplace.","No, I do not use them at work.",None of the above,,None of the above,,Iâ€™m not sure.,Somewhat interested,5-10 hours,"Text generation,Image generation,Speech generation",Instructor-led workshops or webinars,,"Lack of time,Lack of support from management or organization",,"Yes, there is sufficient support and resources for training.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is somewhat important.",Somewhat satisfied,AI has no impact on my job satisfaction,Neutral,Probably yes,Definitely yes,Might or might not,Might or might not,Telecommunications,Finance & Accounting,50-100 employees,â‚¬5 million to â‚¬10 million,Canada,Female,,Master's degree,25-34 years old,66699fb6c445834548a9b958
2024-09-30 15:36:42,2024-09-30 15:39:19,IP Address,86.136.65.199,100,157,True,2024-09-30 15:39:19,R_8FLrZw72iE6C4Bi,,,,,52.7068,-2.7641,anonymous,EN,Yes,55b78162fdf99b0416ce544e,I have no knowledge of AI,"No, I have not used them.",0,0,0,Not confident,"Yes, I am allowed to use it without restrictions.","No, I do not use them at work.",None of the above,,None of the above,,"Yes, I see significant issues or concerns with using AI in my role.",Neutral,Less than 1 hour,Text generation,Self-paced online courses,,No significant barriers,,"Yes, there is sufficient support and resources for training.","No, I have not participated, but such opportunities were offered within the last year.","No, it is not very important.",Extremely satisfied,AI has no impact on my job satisfaction,Somewhat uncomfortable,Probably not,Probably not,AI tools are not being used in my company,Definitely not,"Education (K-12, College, University, Adult)",Executive & Management,1 employee,"Less than â‚¬500,000",United Kingdom of Great Britain and Northern Ireland,Female,,Doctoral degree,45-54 years old,55b78162fdf99b0416ce544e
2024-09-30 15:34:12,2024-09-30 15:39:26,IP Address,201.175.222.36,100,313,True,2024-09-30 15:39:26,R_5C1pp0mz7LOdBUF,,,,,19.391,-99.1434,anonymous,EN,Yes,5e938e072a4ce9077f8157b9,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I have used them occasionally.",10,4,1,Neutral,"Yes, but there are some restrictions or guidelines.",Rarely,"ChatGPT,Microsoft Copilot",,Research and development,,Iâ€™m not sure.,Somewhat interested,1-3 hours,Text generation,"Self-paced online courses,Hands-on practice through projects or assignments,One-on-one mentoring or coaching",,Lack of time,,"Yes, there is sufficient support and resources for training.","No, I have not participated, and no such opportunities were offered in the past year.","No, it is not very important.",Somewhat satisfied,AI tools are not being used in my company,Neutral,Might or might not,Might or might not,Probably not,Might or might not,Construction,Engineering,10-49 employees,Less than â‚¬1 million,Mexico,Female,,Bachelor's degree,18-24 years old,5e938e072a4ce9077f8157b9
2024-09-30 15:36:45,2024-09-30 15:39:34,IP Address,77.97.50.172,100,168,True,2024-09-30 15:39:35,R_2uKyl55P3ATeNwW,,,,,51.5076,-2.6407,anonymous,EN,Yes,5eff17d115ba87434ab3829b,"I can use AI tools such as ChatGPT, but I cannot code",Rarely,7,2,1,Not very confident,"Yes, I am allowed to use it without restrictions.","Yes, I have used them occasionally for work.",ChatGPT,,"Generating content (e.g., text, images, code)",,"Yes, I have some concerns, but I believe the benefits outweigh the risks.",Not very interested,1-3 hours,"Text generation,Image generation","Instructor-led workshops or webinars,One-on-one mentoring or coaching,Watching video tutorials",,"Lack of time,Lack of access to resources or training,Lack of support from management or organization",,"Some support is provided, but it's limited.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is somewhat important.",Somewhat satisfied,AI has no impact on my job satisfaction,Neutral,Might or might not,Probably not,Definitely not,Probably not,Manufacturing and Engineering,Sales & Marketing,10-49 employees,â‚¬1 million to â‚¬5 million,United Kingdom of Great Britain and Northern Ireland,Female,,Bachelor's degree,25-34 years old,5eff17d115ba87434ab3829b
