StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5_1,Q5_2,Q5_7,Q6,Q7,Q8,Q9,Q9_9_TEXT,Q10,Q10_11_TEXT,Q11,Q12,Q13,Q14,Q15,Q15_7_TEXT,Q16,Q16_9_TEXT,Q17,Q18,Q19,Q20,Q21,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q33_4_TEXT,Q34,Q35,PROLIFIC_PID
10/5/2024 0:46,10/5/2024 0:56,IP Address,46.50.6.31,100,589,TRUE,10/5/2024 0:56,R_8IbOUv9E6Ip7GrS,,,,,41.1691,-8.6793,anonymous,EN,Yes,"I can use AI tools via APIs such as the OpenAI API, by writing code but I cannot develop models","Yes, I have used them occasionally.",5,3,1,Somewhat confident,"Yes, I am allowed to use it without restrictions.","Yes, I use them regularly for my work.","ChatGPT,OpenAI API,Microsoft Copilot",,"Automating repetitive tasks,Generating content (e.g., text, images, code),Improving software or product development",,"Yes, I have some concerns, but I believe the benefits outweigh the risks.",Somewhat interested,Less than 1 hour,Text generation,"Hands-on practice through projects or assignments,Reading documentation or manuals",,Lack of time,,"Some support is provided, but it's limited.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is very important.",Somewhat satisfied,AI has no impact on my job satisfaction,Very comfortable,Might or might not,Probably not,Might or might not,Might or might not,"Education (K-12, College, University, Adult)",Software Development,101-250 employees,€1 million to €5 million,Portugal,Male,,Bachelor's degree,25-34 years old,
10/7/2024 2:15,10/7/2024 2:29,IP Address,109.96.134.202,100,835,TRUE,10/7/2024 2:29,R_8wT2P7laNOLpRn3,,,,,45.4518,28.0522,anonymous,EN,Yes,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I have used them occasionally.",7,0,0,Somewhat confident,"Yes, I am allowed to use it without restrictions.","Yes, I have used them occasionally for work.",ChatGPT,,Enhancing productivity or workflow,,"No, I don’t see any problems with using AI in my role.",Somewhat interested,1-3 hours,Speech generation,Hands-on practice through projects or assignments,,"Lack of time,Uncertainty about where to start,No significant barriers",,"No, there is little to no support for employee training.","Yes, I have participated in company-funded AI training or conferences within the last year.","Yes, it is somewhat important.",Somewhat satisfied,AI tools are not being used in my company,Very comfortable,Definitely yes,Definitely yes,AI tools are not being used in my company,Probably yes,Telecommunications,Other,50-100 employees,I do not know,Romania,Female,,Bachelor's degree,45-54 years old,
10/7/2024 2:19,10/7/2024 2:32,IP Address,109.96.134.202,100,762,TRUE,10/7/2024 2:32,R_838GFzybXVqrqAY,,,,,45.4518,28.0522,anonymous,EN,Yes,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I have used them occasionally.",7,3,3,Somewhat confident,"Yes, I am allowed to use it without restrictions.",Rarely,"ChatGPT,Microsoft Copilot",,"Generating content (e.g., text, images, code),Data analysis and insights,Enhancing productivity or workflow",,"No, I don’t see any problems with using AI in my role.",Somewhat interested,1-3 hours,"Text generation,Image generation","Self-paced online courses,Hands-on practice through projects or assignments,Reading documentation or manuals,Watching video tutorials",,No significant barriers,,"Some support is provided, but it's limited.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is somewhat important.",Somewhat satisfied,AI tools are not being used in my company,Somewhat comfortable,Probably yes,Probably yes,Probably not,Probably yes,Telecommunications,Executive & Management,More than 250 employees,Less than €1 million,Romania,Male,,Master's degree,45-54 years old,
10/7/2024 3:04,10/7/2024 3:10,IP Address,213.233.110.40,100,376,TRUE,10/7/2024 3:10,R_2lzdKB5cK5Ed0Gw,,,,,44.4152,26.166,anonymous,EN,Yes,"I can use AI tools such as ChatGPT, but I cannot code","No, I have not used them.",6,5,2,Neutral,"Yes, but there are some restrictions or guidelines.","Yes, I have used them occasionally for work.",Microsoft Copilot,,"Automating repetitive tasks,Data analysis and insights,Enhancing productivity or workflow,Predictive analytics and forecasting,Decision-making assistance",,"Yes, I have some concerns, but I believe the benefits outweigh the risks.",Somewhat interested,1-3 hours,"Text generation,Image generation","Self-paced online courses,Instructor-led workshops or webinars,Hands-on practice through projects or assignments,One-on-one mentoring or coaching,Reading documentation or manuals,Watching video tutorials",,No significant barriers,,"Some support is provided, but it's limited.","No, I have not participated, and no such opportunities were offered in the past year.","No, it is not very important.",Somewhat satisfied,AI has no impact on my job satisfaction,Somewhat comfortable,Probably not,Probably not,Definitely not,Probably not,Scientific or Technical Services,Operations,10-49 employees,€1 million to €5 million,Romania,Female,,Master's degree,55-64 years old,
10/7/2024 15:32,10/7/2024 15:37,IP Address,172.225.163.81,100,305,TRUE,10/7/2024 15:37,R_8tiXGbA8L97hTln,,,,,38.731,-9.1373,anonymous,EN,Yes,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I have used them occasionally.",8,8,0,Somewhat confident,"Yes, but there are some restrictions or guidelines.","Yes, I have used them occasionally for work.",ChatGPT,,"Automating repetitive tasks,Data analysis and insights,Improving software or product development",,"No, I don’t see any problems with using AI in my role.",Somewhat interested,1-3 hours,"Text generation,Image generation","Instructor-led workshops or webinars,Hands-on practice through projects or assignments,Reading documentation or manuals,Watching video tutorials",,No significant barriers,,"Yes, there is sufficient support and resources for training.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is somewhat important.",Somewhat satisfied,AI has no impact on my job satisfaction,Somewhat comfortable,Probably yes,Probably yes,Probably not,Might or might not,Software,IT & Technical Support,More than 250 employees,I do not know,Portugal,Male,,High school diploma or equivalent,25-34 years old,
10/8/2024 11:22,10/8/2024 11:32,IP Address,5.179.138.26,100,582,TRUE,10/8/2024 11:32,R_80l7A0UcTfmcWjL,,,,,43.1479,12.1097,anonymous,EN,Yes,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I use them regularly.",10,10,3,Confident,"Yes, I am allowed to use it without restrictions.","Yes, I use them regularly for my work.","ChatGPT,DALL·E,MidJourney,Other",,"Automating repetitive tasks,Generating content (e.g., text, images, code),Data analysis and insights,Enhancing productivity or workflow,Personalization of products/services,Predictive analytics and forecasting,Research and development,Decision-making assistance,Improving software or product development,Other",,"No, I don’t see any problems with using AI in my role.",Very interested,5-10 hours,"Text generation,Image generation","Self-paced online courses,Hands-on practice through projects or assignments,Watching video tutorials",,"Lack of time,Difficulty understanding the concepts",,"Yes, there is sufficient support and resources for training.","Yes, I have participated in company-funded AI training or conferences within the last year.","Yes, it is very important.",Extremely satisfied,"Yes, AI has significantly improved my job satisfaction",Very comfortable,Definitely yes,Definitely yes,Probably yes,Definitely yes,"Arts, Entertainment, and Recreation",Creative & Design,Fewer than 10 employees,"Less than €500,000",Bulgaria,Male,,High school diploma or equivalent,18-24 years old,
10/1/2024 1:02,10/2/2024 6:24,IP Address,145.101.156.215,6,105747,FALSE,10/9/2024 6:25,R_2qDqsNTbBBFWPBm,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/2/2024 6:24,10/2/2024 6:25,IP Address,145.101.220.41,6,56,FALSE,10/9/2024 6:25,R_8izLiOv46U3UllT,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/3/2024 3:29,10/3/2024 10:22,IP Address,94.62.218.81,6,24823,FALSE,10/10/2024 10:23,R_8knXP4lJwyphjJB,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2024 6:08,10/7/2024 6:09,IP Address,5.13.172.1,6,76,FALSE,10/14/2024 6:09,R_2wgnsGzmeJNgVUm,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
