Start Time,End Time,Sentence,Emotion
"00:06:32,028","00:06:33,310","That one, not so much.",sadness
"00:06:33,310","00:06:35,509",That one right there looks like it could be from Chelyabinsk.,neutral
"00:06:35,509","00:06:36,230",I'm not gonna lie.,neutral
"00:06:36,550","00:06:41,310","One very, very big difference that I do notice here in Poland, is that it's actually the balconies.",surprise
"00:06:41,310","00:06:48,970","And in particular, what I'm talking about is the fact that the balconies in Russia, essentially, it gets very cold in the winter.",neutral
"00:06:48,970","00:06:51,930","I imagine in Poland as well, probably not as cold, but pretty cold, too.",neutral
"00:06:51,930","00:07:00,290","And, you know, the balconies that we have in these buildings, they're pretty much similar, but here, people do not, like, add additional stuff on them to make it, you know, warmer in the winter, basically.",neutral
"00:07:00,290","00:07:11,610","In Russia, pretty much everybody, including my parents, for example, they have additional stuff on the balcony to make it warm in the winter so that you can actually go there in the winter and, like, store stuff there so that snow doesn't fall on it, basically.",neutral
"00:07:11,610","00:07:11,930",Right.,neutral
"00:07:11,930","00:07:16,930","But here in Poland, when you take a look at these old buildings, all the balconies come like stock, you know what I'm saying?",neutral
"00:07:16,930","00:07:19,110","They're not modified, which is pretty interesting.",happiness
"00:07:19,110","00:07:25,990","You know, as a Russian, I'm pretty used to the fact that, you know, balconies kind of have to be modified a little bit to accommodate for the cold weather and everything.",neutral
"00:07:25,990","00:07:32,310","But here in Poland, I guess it's probably forbidden, so you have to kind of keep it as it is to keep the old architectural style or something.",neutral
"00:07:32,310","00:07:40,350","So it's kind of funny that, you know, here in Poland, they take this kind of architectural legacy of the Soviet Union, you could say, more seriously than they do in Russia.",surprise
"00:07:40,350","00:07:47,589","But that does come at a cost to the fact that in the winter, there is going to be snow on your balcony, it is going to be cold, but otherwise, it feels very, very similar.",sadness
"00:07:51,180","00:07:51,860",I quite like it.,happiness
"00:07:51,860","00:07:52,579",I'm not gonna lie.,neutral
"00:07:52,579","00:07:55,740","Like, this definitely does feel like an environment that I'm used to.",surprise
"00:07:55,740","00:07:56,819",I know where things are.,surprise
"00:07:56,819","00:08:01,620","And also, it makes total sense, like, right now, as you walk in here, you can kind of clearly sell to this entire neighborhood.",surprise
"00:08:01,620","00:08:06,379",It was built so that it would be easy for people to get to the factory and get back home again.,neutral
"00:08:06,379","00:08:13,370","You know, people like to say communism, bad, whatever, but, like, this is genuinely decent housing with decently planned streets and stuff.",neutral
"00:08:13,519","00:08:15,759","Stuff, like with a little bit of an upgrade that Poland did.",neutral
"00:08:15,759","00:08:17,439",So this inside neighborhood looks like.,neutral
"00:08:17,439","00:08:19,279","Looks pretty European, honestly.",happiness
"00:08:32,799","00:08:34,600",Some more old signs right here with that.,neutral
"00:08:34,600","00:08:36,639","Beautiful, beautiful modernist fonts.",happiness
"00:08:37,679","00:08:38,679","This is Kino, man.",neutral
"00:08:38,679","00:08:39,549",This is sick.,disgust
"00:08:43,309","00:08:49,309","See, guys, the height of this door right here, clearly, when they were building these buildings, you know, the average height of the person was way lower than myself.",surprise
"00:08:49,309","00:08:49,629",Right?,neutral
"00:08:49,710","00:08:54,909","You can clearly tell this was built before the chernobyl accident of 1986, after which people like me were burned.",neutral
"00:08:55,389","00:08:56,309",Absolute giants.,happiness
"00:08:56,309","00:08:56,549",Right.,neutral
"00:08:56,549","00:08:58,110","But yeah, very, very chill even.",happiness
"00:08:58,110","00:08:58,750","Look at this, man.",neutral
"00:08:58,750","00:08:59,750",Like the flowers and everything.,happiness
"00:08:59,750","00:09:02,549","It actually honestly feels a lot like, you know, Russian neighborhoods.",happiness
"00:09:02,549","00:09:05,070","Because this is what babushkas in Russia like to do, right?",neutral
"00:09:05,070","00:09:06,590",When they live in these kami block areas.,neutral
"00:09:06,669","00:09:12,889","Essentially every babushka kind of has their own zone here in this, like in this small gard area located next to the building right here.",neutral
"00:09:12,889","00:09:19,690","So when you walk in an areas like this and you see little flowers, it was probably put in place by literally like old grandmas that live in this building.",neutral
"00:09:19,690","00:09:21,169","So, yeah, very, very cute.",happiness
"00:09:21,169","00:09:23,690",It's a bit of a dacha vibe inside the city.,neutral
"00:09:24,809","00:09:27,610","Oh, look at that.",surprise
"00:09:27,850","00:09:29,169","That looks amazing, man.",happiness
"00:09:29,169","00:09:31,769","Theater, Ludovy People's Theater.",neutral
"00:09:31,929","00:09:33,250","Very communist name, man.",disgust
"00:09:33,250","00:09:33,970",What can I say?,sadness
"00:09:33,970","00:09:35,370",It looks absolutely incredible.,happiness
"00:09:35,370","00:09:36,730",Let's walk up a little closer to it.,neutral
"00:09:37,009","00:09:37,529",Looks great.,happiness
"00:09:37,529","00:09:38,490",I love the font.,happiness
"00:09:38,490","00:09:40,769","Once again, incredible communist vibe.",happiness
"00:09:40,850","00:09:41,570",Modernist.,neutral
"00:09:41,649","00:09:46,129","And yeah, as we can clearly sell here, actually still operating still things are happening here.",neutral
"00:09:46,129","00:09:47,250","Culture, life.",neutral
"00:09:47,809","00:09:48,690","Very, very nice.",happiness
"00:09:49,330","00:09:53,370","So here in the back of the theater, they have a really, really cool, modern looking children's playground.",happiness
"00:09:53,370","00:09:54,490",A little bit of a slide right here.,sadness
"00:09:54,490","00:09:58,889",But what actually draws my attention are these balconies and these like doors under arches.,surprise
"00:09:58,889","00:10:02,929","I mean, the people here who live on the first floor definitely have the best deal out of everybody.",happiness
"00:10:03,179","00:10:04,620",People up there don't even get balconies.,anger
"00:10:04,620","00:10:07,179",And here on the first floor you get the nicest balcony of all time.,happiness
"00:10:07,179","00:10:16,059",Although you do definitely have to have trust in your neighbors and the people who live in this neighborhood because it looks incredibly easy to climb inside of these apartments if you're like a thief or something.,fear
"00:10:16,220","00:10:20,340","I expect the Polish people who live here to have, you know, a good amount of trust in each other and stuff like that.",neutral
"00:10:20,340","00:10:22,259","This is, you know, a very chill, safe neighborhood and everything.",happiness
"00:10:22,259","00:10:24,460","But damn, that's the best looking one yet, actually.",surprise
"00:10:24,700","00:10:25,179",Sick.,anger
"00:10:25,580","00:10:34,220","But all I'm saying is like, if I lived in the Chelyabinsk Metalurgyik neighborhood and I had a balcony like this on the first floor, I would be a little worried.",fear
"00:10:34,220","00:10:34,929",I'm not going to lie.,neutral
"00:10:35,799","00:10:38,600",Maybe that says something about the safety in Poland or whatever.,neutral
"00:10:44,279","00:10:47,799","So, yeah, guys, right here you can check it out of the wide streets and everything.",neutral
"00:10:48,120","00:10:50,759","Definitely doesn't feel like Krakow at all, to be honest.",sadness
"00:10:50,759","00:10:55,240","Once again, at this corner that we're standing, you know, this could be any country ever, to be quite honest.",sadness
"00:10:55,240","00:10:55,879",This could be.,neutral
"00:10:55,879","00:10:57,799","This could be Russia, this could be Serbia.",neutral
"00:10:57,799","00:11:00,519","This could be like Bulgaria or something, you know what I'm saying?",neutral
"00:11:00,789","00:11:03,669","Definitely has that quintessential Eastern European vibe, right?",happiness
"00:11:08,309","00:11:10,950","Yeah, guys, walking through here is actually so uncanny.",surprise
"00:11:10,950","00:11:13,070",This does actually feel like Russia at this point.,surprise
"00:11:13,070","00:11:16,190","Like these buildings are a little newer, probably built like in the 80s or something.",happiness
"00:11:16,190","00:11:20,350","And I mean, it just looks like, like the outskirts of Chelyabinsk at this point.",neutral
"00:11:20,350","00:11:20,710",Like.,neutral
"00:11:21,190","00:11:30,429","But one thing I noticed here is that honestly, it's not as clean as the other parts of Poland, like Warsaw or even the center of Krakow, which is still pretty clean.",sadness
"00:11:30,429","00:11:30,789",So.,neutral
"00:11:30,870","00:11:38,370","And you guys know how on the Internet, right, there's a huge circle jerk about how, you know, Europe is a, you know, it has become third World or whatever, there's trash everywhere.",anger
"00:11:38,370","00:11:40,289","Paris, whatever it is, everything is trash.",disgust
"00:11:40,289","00:11:42,769",But Poland is regarded as like the cleanest country ever.,happiness
"00:11:42,769","00:11:47,090","So you see guys, I saw one bad trash bin covered in trash in Poland.",anger
"00:11:47,169","00:11:49,529",Clearly means that Poland sucks and the west has fallen.,sadness
"00:11:49,529","00:11:51,730","Yes, this is how rage bait content works.",surprise
"00:11:56,610","00:12:01,409","Alright guys, we finally arrived to another location here in Nova Huta that I wanted to show you, which is pretty interesting.",happiness
"00:12:01,649","00:12:03,289",This enormous building behind me.,neutral
"00:12:03,289","00:12:05,429",A lot of you guys might have a guess to what this is.,neutral
"00:12:05,429","00:12:10,909","Some of you probably will say some kind of communist theater, another one of these, you know, Soviet houses of culture or whatever.",neutral
"00:12:10,909","00:12:19,629",But actually that is not the case because this is actually one of the few buildings here in Novakhuta that was built and planned not by the States or not by the communists.,surprise
"00:12:19,629","00:12:24,629","In fact, this is a building that was built here in spite the communist government of Poland at the time.",anger
"00:12:24,629","00:12:27,309",And actually what we have in front of us right now is a.,surprise
"00:12:28,029","00:12:31,220","There you go, it's a church.",neutral
"00:12:31,779","00:12:35,860",This right here is the Ark of the Lord church that started building here in the late 60s.,neutral
"00:12:35,860","00:12:38,259","And it actually has a very, very interesting story.",happiness
"00:12:38,259","00:12:54,100","The reason why it looks so strange and so bizarre is because obviously, if you know something about the Soviet Union and the Soviet satellite states, even though many of these countries, like Poland and Russia, for example, were very religious, very Christian for their entire history, during the communist times, religion was almost kind of frowned upon.",sadness
"00:12:54,259","00:12:59,610","And obviously here in this neighborhood, which is supposed to be the ultimate communist utopia, a church was never planned.",anger
"00:13:00,000","00:13:06,799","And in fact, right after Nova Huta was built, the people who moved to this area were pretty unhappy about the fact that there was no church that they could visit.",sadness
"00:13:11,200","00:13:24,559","And basically, since around the mid-1950s, this area right here behind me was a big point of contention between the local government and the local people, because the communist government of Poland really did not want to build a new church because it's not very fitting to the Ideology.",anger
"00:13:24,799","00:13:27,129","However, the people here actually fought pretty hard for it.",happiness
"00:13:27,129","00:13:28,889",There was a lot of protests that were thrown.,anger
"00:13:28,889","00:13:30,730",The government and the people went back and forth.,neutral
"00:13:30,730","00:13:36,610","Sometimes the government would kind of okay and give permission to the building of the church, but then they would change their mind once again.",anger
"00:13:36,850","00:13:42,370","And ultimately, in 1967, the government here actually gave people the permission to build the church.",neutral
"00:13:42,370","00:13:44,289",But there was only one caveat.,neutral
"00:13:44,289","00:13:47,409",The government would not help the people build the church in any way.,anger
"00:13:47,490","00:13:49,649","No funds and no resources, no nothing.",sadness
"00:13:49,730","00:13:57,009","So this church was actually fully built by volunteers who collected their own construction materials, their own bricks, their own cements, everything.",happiness
"00:13:57,389","00:14:01,309","And essentially, this church right here was built in spite of the government, by the people.",anger
"00:14:01,389","00:14:04,750",And the church was only finally finished in the year of 1977.,neutral
"00:14:04,830","00:14:11,389","And once again, you can clearly tell that it doesn't really look right, like any regular church, like any church I've ever seen before.",sadness
"00:14:11,389","00:14:16,990","Definitely has a very big communist vibe still, but basically they just built it out of what they had at the time.",anger
"00:14:17,070","00:14:18,509","But, yeah, it looks very, very unique.",happiness
"00:14:18,509","00:14:19,870",Let's go inside and check it.,neutral
"00:14:31,549","00:14:32,110","Wow, guys.",surprise
"00:14:32,190","00:14:32,909",Incredible.,surprise
"00:14:33,389","00:14:36,870","I didn't want to film inside the church because it's obviously, you know, I wouldn't be yapping there.",anger
"00:14:36,870","00:14:38,750","It's not very respectful, but incredible.",surprise
"00:14:38,750","00:14:41,350",This is one of the most unique churches I've ever seen in my life.,happiness
"00:14:41,350","00:14:41,950","Like, I didn't know.",sadness
"00:14:41,950","00:14:42,669",Set off camera that.,neutral
"00:14:47,710","00:14:50,870","Yeah, I was saying that about, like, traditional Krakow churches, right?",neutral
"00:14:50,870","00:14:54,149","They're pretty beautiful, obviously, but this is something like I've never.",sadness
"00:14:54,149","00:14:54,429",This.,neutral
"00:14:54,429","00:14:54,980",I've never seen.,surprise
"00:14:55,049","00:14:55,570",Seen this before.,neutral
"00:14:55,570","00:14:56,649","It's very, very unique.",happiness
"00:14:56,649","00:14:57,649",Very unorthodox.,anger
"00:14:57,649","00:14:58,570",No pun intended.,neutral
"00:14:58,570","00:15:01,690","It's Catholic, but, yeah, actually, absolutely incredible, man.",surprise
"00:15:01,690","00:15:05,289","I think Nova Huta is worth visiting just for this church alone, actually.",happiness
"00:15:05,289","00:15:05,889",Incredible.,surprise
"00:15:05,889","00:15:12,889","In a way, it's actually pretty inspiring to see that this right here was built in spite of the government, and yet it's so grand and amazing.",surprise
"00:15:13,690","00:15:14,169",Good job.,happiness
"00:15:14,169","00:15:14,889",Polish people.,neutral
"00:15:14,889","00:15:15,929",Polska Guro.,neutral
"00:15:21,379","00:15:22,100","But yeah, I'm not gonna lie.",neutral
"00:15:22,100","00:15:23,379",I do really like it a lot here.,fear
"00:15:23,379","00:15:24,779","Very chill, very quiet.",neutral
"00:15:24,779","00:15:28,059",And what I found pretty interesting is actually the shape of these windows right here.,surprise
"00:15:28,059","00:15:31,100","Something I've never seen in, like, Russian cubby blocks, for example.",surprise
"00:15:31,100","00:15:33,500","They have a kind of a L shape here, which is kind of cool.",happiness
"00:15:33,500","00:15:35,299","Like, they look like Tetris bricks.",neutral
"00:15:35,539","00:15:40,340",Also very interesting that pretty much every single building here has a ton of Polish flags on them.,surprise
"00:15:40,419","00:15:42,659","So very, very patriotic.",happiness
"00:15:42,659","00:15:47,340",I guess there's just aware of the fact that this neighborhood looks generically Eastern European.,neutral
"00:15:47,340","00:15:50,899","So they're like, we have to put Polish flags everywhere so that people don't forget which country they're in.",neutral
"00:15:51,700","00:15:53,039",Something I don't know.,sadness
"00:15:56,720","00:16:01,440","And here, from what appears to me some sort of old communist kiosk gets abandoned here.",sadness
"00:16:01,440","00:16:03,519",You actually see a lot of these walking around.,surprise
"00:16:03,600","00:16:07,120","Probably used to be a store of some sorts, but now vacant real estate.",neutral
"00:16:07,120","00:16:12,639","So if you guys want a business idea, there you go here in Nova Huta, prime real estate.",happiness
"00:16:12,639","00:16:14,000",Open up a store or something.,neutral
"00:16:14,000","00:16:21,919","Although you have to keep in mind that you do have fierce competition, because you will have to compete with Poland's goat store, Zhabka, which is literally everywhere here.",fear
"00:16:21,919","00:16:26,500","But actually here in Nova Huta, there's fewer of them compared to, like, the center of Krakow, Warsaw.",neutral
"00:16:26,500","00:16:28,220","So free business idea, you guys.",happiness
"00:16:28,220","00:16:28,779",There you go.,neutral
"00:16:29,500","00:16:30,860",Let me know if it happens.,neutral
"00:16:31,100","00:16:37,659","One detail I do have to point out, though, what I actually enjoy about this neighborhood, I'm not gonna lie, is that so far, you know, I've been walking here.",surprise
"00:16:37,659","00:16:39,500","Yeah, you know, you do have great graffiti.",happiness
"00:16:39,500","00:16:40,779","You know, Eastern Europe guys.",neutral
"00:16:40,779","00:16:42,779","You know, you gotta draw a penis everywhere.",anger
"00:16:42,940","00:16:43,740",Obviously.,neutral
"00:16:43,740","00:16:44,340",Classic.,happiness
"00:16:44,340","00:16:45,259","Very, very funny.",happiness
"00:16:45,259","00:16:47,860",But something I actually do like about Nova Khuta.,happiness
"00:16:47,860","00:16:51,379","So far, walking around here, I haven't seen a single swastika graffiti.",surprise
"00:16:51,379","00:16:52,340",Compared to Serbia.,neutral
"00:16:52,340","00:16:58,000","That's very refreshing because like in Novi, Belgrade in Serbia, whenever there, the swastikas everywhere.",happiness
"00:16:58,000","00:17:02,679",And it's like I did see one guy in a bursum T shirt walking around with a lot of tattoos here.,neutral
"00:17:02,679","00:17:03,559","So, you know, I can.",neutral
"00:17:03,559","00:17:07,960","I could probably tell very well what kind of guy that was, but otherwise pretty chill.",neutral
"00:17:07,960","00:17:10,480","You know, I don't know what it is with Serbia, you guys.",sadness
"00:17:10,480","00:17:14,839","You know, you have too many swastikas drawn on buildings in these socialist neighborhoods.",anger
"00:17:14,839","00:17:15,799",It's not okay.,anger
"00:17:19,799","00:17:21,769","I mean, I just suddenly got way taller, you guys.",surprise
"00:17:22,240","00:17:33,680","No, she's actually on an E scooter, which I'm about to take too, because we want to get to the Kombinath area next to the factory, to the steel factory, which used to be called Vladimir Lenin, but it's a bit far, I'm not gonna lie.",neutral
"00:17:33,680","00:17:35,160","You know, these huge comedy streets.",neutral
"00:17:35,160","00:17:39,640","Novakhuta, actually low key, feels bigger than Krakow itself, like the center of Krakow.",neutral
"00:17:39,640","00:17:43,759","So I'm gonna take one of these E scooters as well, and we're gonna get there in no time.",happiness
"00:17:44,960","00:17:48,769",The classic path trodden by people who through the glass.,neutral
"00:17:49,890","00:17:52,049","This is so Eastern European coded, you guys.",neutral
"00:17:52,289","00:17:53,410",It's actually crazy.,surprise
"00:17:53,490","00:17:57,410",And another interesting thing that I do notice is that when you look at the cars around this neighborhood.,surprise
"00:17:57,410","00:17:58,569",They're all pretty modern and stuff.,happiness
"00:17:58,569","00:18:03,568","Like, you don't really see any of these old gems like Polsky, Fiat or whatever.",sadness
"00:18:03,568","00:18:11,410","Because look, in Russia, if you go to these, like, old neighborhoods where like the working class people live, you will see a lot of, like, Ladas, all the, whatever, Soviet stuff, basically.",neutral
"00:18:11,410","00:18:11,730",But.,anger
"00:18:11,809","00:18:15,009","And also in Serbia, you do see, like those Yugoslavian cars sometimes.",neutral
"00:18:15,009","00:18:16,009","Parks around here, though.",neutral
"00:18:16,400","00:18:18,000","No, like, everything is pretty modern.",neutral
"00:18:18,079","00:18:21,279","Just modern euro cars, like 2000s euro cars.",neutral
"00:18:21,440","00:18:22,119",Pretty interesting.,happiness
"00:18:22,119","00:18:23,759",You motherfuckers are not being communist enough.,anger
"00:18:24,559","00:18:27,440","And this right here, as far as I understand, must be some kind of college.",surprise
"00:18:27,519","00:18:30,720","Also looks like one of those colleges you see in like, these Soviet neighborhoods.",neutral
"00:18:30,720","00:18:32,398","And yeah, it's very, very nice.",happiness
"00:18:32,400","00:18:35,200","And also there's a fella Slav squadron over there, so.",neutral
"00:18:35,279","00:18:36,960",Slav squatting and smoking.,anger
"00:18:37,279","00:18:38,559","I feel at home, you guys.",happiness
"00:18:38,559","00:18:39,920",I feel exactly at home.,happiness
"00:18:40,240","00:18:41,920",And also right here we have a.,neutral
"00:18:41,920","00:18:42,920",A park with a lake.,happiness
"00:18:43,470","00:18:44,789","So very nice, man.",happiness
"00:18:44,789","00:18:45,390",What can I say?,sadness
"00:18:45,390","00:18:49,150",Nova Ghuta also has nice natural spots for people to chill.,happiness
"00:18:49,470","00:18:55,910","Probably a nice place to wind down after your day at work in a steel factory back in the day, because we're actually coming up to it.",happiness
"00:18:55,910","00:18:57,789","It should be right there, like ahead of us.",neutral
"00:18:57,789","00:18:59,189","But yeah, very, very chill, man.",happiness
"00:18:59,189","00:18:59,869",What can I say?,sadness
"00:19:00,349","00:19:03,910","Nova Huta is just the ultimate, ultimate socialist neighborhood.",happiness
"00:19:03,910","00:19:08,720","I see now why they say that this is like the best planned, socialist or communist neighborhood of all time.",surprise
"00:19:09,269","00:19:10,829","Not gonna lie, I would not mind living here.",neutral
"00:19:10,829","00:19:11,869",It's actually pretty nice.,happiness
"00:19:11,869","00:19:14,190",And not just for the nostalgia factor.,happiness
"00:19:14,190","00:19:21,430","You know what I'm saying, Bruh?",sadness
"00:19:21,829","00:19:22,190",Bruh.,sadness
"00:19:22,190","00:19:23,670","I swear to God, these zoning laws.",anger
"00:19:23,670","00:19:24,869","Okay, we failed a little bit.",sadness
"00:19:25,029","00:19:25,829",We wanted to.,happiness
"00:19:25,990","00:19:27,349",We wanted to get to the.,neutral
"00:19:28,150","00:19:33,910","Exactly, to the factory here on our scooters, but we fucked up a little bit because there's an entire.",sadness
"00:19:33,990","00:19:37,910",There's basically a red zone surrounding the entirety of the factory area here.,fear
"00:19:37,910","00:19:42,079","And you cannot ride or park, so we had to drop off our scooters there.",neutral
"00:19:42,079","00:19:42,920",We're gonna have to.,neutral
"00:19:43,799","00:19:48,519","Yeah, we're gonna have to walk towards the factory here a little bit, but that's fine.",neutral
