Start Time,End Time,Sentence
07:19.390,07:20.410,Yo sí.
07:34.630,07:35.570,Hola.
07:42.150,07:43.890,"Qué retrasados son, tíos."
07:47.110,07:52.970,"Madre mía, que se la tire ya."
07:53.360,07:55.032,Si es que se la ha tirado ya casi.
07:55.096,07:55.980,¿Qué le falta?
07:56.400,07:58.008,"¿Qué le falta, Sandra?"
07:58.184,08:01.640,¿Y después has estado una vez enamorada en tu vida?
08:01.680,08:03.220,Y le dice él no.
08:04.320,08:06.060,¿Entonces qué haces aquí?
08:06.480,08:07.980,Mentiroso.
08:09.680,08:11.860,No quiero llorar por él más.
08:12.160,08:13.900,Mentiroso de mierda.
08:14.880,08:17.260,"¿Si no está enamorado, qué coño hace aquí?"
08:17.600,08:19.420,¿Y a mí por qué me dice que sí?
08:19.810,08:20.990,¿Para qué me miente?
08:21.730,08:26.030,"Me está dando mucho asco, mucha pena y mucho todo todos juntos."
08:26.770,08:29.550,Pero esa no es la persona de la que yo me enamoré.
08:35.170,08:37.866,¿Qué hace el tonto?
08:37.978,08:39.658,El tonto es lo que hace el tonto.
08:39.754,08:41.594,¿Y que por qué me lo hace a mí?
08:41.722,08:49.240,"Tiene la puta oportunidad de demostrarte y más en su puta vida, tío, en su puta vida va a cambiar este tío."
08:50.060,08:52.480,Que no tenías que haber estado con un chico como él.
08:55.260,08:57.620,"Muy de tonto en tonto, chaval."
08:57.780,08:59.160,Es que me encanta.
09:00.140,09:01.800,"¿Por qué estás así, María?"
09:02.780,09:05.156,Creo que no es consciente de lo que está haciendo.
09:05.188,09:10.452,Y cuando sea consciente se va a dar un puto golpe de realidad que no se lo va a creer ni él.
09:10.636,09:14.412,Y yo lo que no voy a hacer es comerme esto y encima salir de aquí con él.
09:14.436,09:15.052,Ya te lo digo yo.
09:15.076,09:17.212,Yo miedo no me como más de ningún tío.
09:17.356,09:18.720,No me da la gana.
09:19.380,09:24.800,"María, aún hay más imágenes para ti."
09:25.940,09:32.320,"Joder, espérate, que todavía, todavía es el del folleteo, el documental."
09:33.060,09:37.840,"Da igual, como me Lali se va a cagar porque le va a faltar República Dominicana para correr."
09:44.260,09:55.676,"No, no ser imbécil."
09:55.788,09:56.960,Es celoso.
09:59.620,10:08.770,"No está él, lo está haciendo el Tía, gracias por no, tía, no, no."
10:10.510,10:13.798,"Ella se lo dejó bien claro, que no querían que tocaran ese puto peluche."
10:13.894,10:15.370,Te lo dejo clarísimo.
10:18.830,10:19.286,¿Ves?
10:19.318,10:19.942,Él no sabe.
10:20.006,10:21.046,David de eso no se ha enterado.
10:21.078,10:22.450,Eso no lo sabe él.
10:24.750,10:26.230,¿Te ha gustado?
10:26.390,10:27.450,Un montón.
10:28.990,10:30.102,No me toque.
10:30.166,10:31.450,Qué romántica ella.
10:37.110,10:39.010,"Él no lo sabe, María."
10:41.030,10:44.974,"Me da igual, que si te tienen que joder, te va a joder."
10:45.022,10:45.730,María.
10:50.790,10:52.330,¿Por qué hace eso?
10:53.590,10:55.134,"¿Por qué hace eso, tío?"
10:55.182,10:57.022,Que es mi puto peluche.
10:57.166,10:57.930,¿Qué hace?
11:00.250,11:02.194,"Yo te entiendo, María."
11:02.322,11:05.030,¿Por qué es tan importante ese peluche para ti?
11:05.850,11:12.178,"Porque sí, porque me lo regaló David y cuando yo he estado en Madrid muy mal, ha sido lo que me ha acompañado siempre."
11:12.234,11:14.950,Y para mí tiene muchísimo valor sentimental.
11:15.530,11:19.538,"Y encima lleva una pulsera, que es la que llevo yo."
11:19.674,11:22.230,Y no quiero que nadie toque ese peluche.
11:35.460,11:38.092,"Yo te entiendo, pero él no tiene culpa porque no lo sabía."
11:38.236,11:39.292,Ya lo sé.
11:39.476,11:43.040,"Si él lo hubiera permitido lo entiendo, pero él no lo sabe."
11:44.820,11:50.560,¿Crees que David sabe que Zaira ha tocado tu peluche?
11:51.060,11:53.280,"No, yo sé que no lo sabe."
11:53.830,11:55.422,¿Tiene nombre ese peluche?
11:55.486,11:57.570,"Sí, se llama Arbolito."
12:00.550,12:02.382,¿Arbolito o Alvarito?
12:02.446,12:03.022,Arbolito.
12:03.086,12:08.130,Arbolito estaría bueno.
12:09.190,12:11.490,¿Y por qué se llama Arbolito?
12:12.550,12:17.214,Porque es el primer disfraz que llevó David de la isla de las tentaciones.
12:17.342,12:21.566,"Y mis compañeras le parece un arbolito, Arbolito, Arbolito."
12:21.598,12:24.622,Y se le quedó todo el programa con Arbolito.
12:24.766,12:28.130,"Entonces, cuando me lo regaló le vamos a poner el arbolito."
12:28.790,12:34.130,"María, no hay más imágenes para ti."
12:35.270,12:36.330,Menos mal.
12:37.670,12:39.182,No estoy reconociendo al David.
12:39.246,12:41.038,No es el David del que yo me enamoré.
12:41.054,12:44.382,No es mi novio con el que entré aquí y espero el asiento.
12:44.446,12:47.140,Era ver que nos siguen esta misma actitud.
12:48.920,12:51.060,"Mariona, es tu turno."
12:52.680,12:58.980,"En la anterior hoguera, la actitud de Adri con Eva te dejó absolutamente descolocada."
12:59.320,13:05.328,La tensión entre ellos y los juegos te hicieron sentir un poco de miedo.
13:05.504,13:08.640,"Sí, Sandra, yo la verdad es que no me lo imaginaba."
13:08.720,13:15.442,"Los juegos sí, pero todo lo que supere algo que no es un juego, a mí es que ni lo concebía de Adri."
13:15.506,13:16.790,Ni me lo imaginaba.
13:19.130,13:24.450,"Mariona, hay imágenes de Adri para ti."
13:24.610,13:26.722,¿Quieres verla sola o con tus compañeras?
13:26.786,13:27.602,Con mis compañeras.
13:27.666,13:33.590,Adelante todas colocándonos antes de que ella nos llevamos una sorpresa.
13:36.410,13:37.350,De verdad.
13:46.170,13:46.930,¿Es la misma?
13:47.010,13:47.474,Es la misma.
13:47.522,13:48.550,¿Es Eva?
13:49.930,13:52.786,"No, esa es Mónica."
13:52.898,13:54.626,Mónica es otra.
13:54.658,13:55.474,Esa Mónica.
13:55.522,13:57.186,¿Tú conmigo crees que podría hacer algo?
13:57.258,13:57.986,Sí.
13:58.178,13:59.110,De verdad.
14:00.330,14:01.842,Esa es la boquita muerta.
14:01.986,14:03.512,Me atraes físicamente un montón.
14:03.626,14:05.120,"Hoy en el baile, por ejemplo."
14:08.180,14:09.020,Tremendo.
14:09.180,14:10.800,Ya me estoy rindiendo.
14:13.460,14:15.100,¿Esa Seba o Mónica?
14:15.260,14:17.600,"Mónica, la que va de blanco."
14:22.180,14:23.320,Tú a mí también.
14:23.940,14:30.160,¿Vamos a jugar qué dice el bar?
14:38.380,14:39.988,"Bueno, bueno."
14:40.164,14:41.204,A mí no me gusta.
14:41.292,14:42.280,A mí me encanta.
14:43.900,14:47.140,"Ahora mismo estoy súper cómodo, no me hace falta más."
14:47.260,14:48.516,Pues adelante.
14:48.708,14:56.250,"Para atrás ni para coger impulso a veces, que me quede claro."
14:56.330,15:03.578,Me siento súper a gusto ahora.
15:03.594,15:05.018,Es que están todos enamorados.
15:05.114,15:06.670,Es que yo me quedo loca.
15:09.250,15:17.146,"Ya lo dijo Andrea, que las mosquitas muertas a mí no me ha quedado muy claro quién es quién, porque no las tengo tan vistas."
15:17.178,15:19.550,Pero yo lo único que veo es que va cambiando.
15:20.220,15:22.840,La chica de las imágenes es Mónica.
15:23.340,15:24.580,Todo el rato era Mónica.
15:24.660,15:25.960,Todo el rato era Mónica.
15:27.820,15:36.120,"Los juegos me dan igual, pero cuando hablaban parecía un poco de complicidad."
15:37.340,15:40.980,¿Te quedas más tranquila al ver Adri con Mónica?
15:41.140,15:48.582,"No sé sus motivos, pero supongo que serán porque le atrae más y le aporta algo más."
15:48.766,15:50.934,Entonces quizás sí que me preocupa un poco.
15:51.102,15:53.770,¿Crees que Mónica puede ser su prototipo?
15:54.190,15:55.974,"Yo creo que sí, que puede ser su prototipo."
15:56.022,16:01.878,"Sandra, estás muy nerviosa."
16:01.894,16:03.050,"Marion, ahora."
16:09.390,16:10.630,Es que no lo entiendo.
16:10.710,16:20.660,"Tipo tía, pero desahógate, no pasa nada."
16:24.200,16:31.220,"Primero con una, después de los juegos, no sé qué, y ahora con esta, que le veo complicidad."
16:33.560,16:36.800,Es que yo confío en Adri.
16:36.960,16:39.502,"Y no he venido aquí a descubrir, confiar de él."
16:39.686,16:43.730,"He venido aquí a que me demuestre cosas, no a que me desdemuestre."
16:46.230,17:01.010,"Mariona, hay más imágenes para ti ahora."
17:14.740,17:15.720,¿Qué hay?
17:16.900,17:18.396,"Tía, qué vergüenza."
17:18.508,17:19.600,Qué vergüenza.
17:24.980,17:26.680,"¿Qué tímida es, no?"
17:27.380,17:28.640,Es súper tímida.
17:30.420,17:31.440,Qué vergüenza.
17:32.340,17:33.484,Mira que tímida.
17:33.532,17:34.828,Mira a mi novio.
17:34.844,17:36.060,"¿Lo veo cómodo, sabes?"
17:36.140,17:37.580,"No, no, sufriendo no estaba."
17:37.660,17:47.196,"No, pero es que va él a ella sí, eso fue un juego."
17:47.228,17:47.820,¿Pero qué hace?
17:47.860,17:48.460,¿Pero qué hace?
17:48.500,17:49.480,¿Pero qué hace?
17:51.540,17:54.320,"Pero es que míralo, la cara que pone, tío."
17:56.020,17:56.668,¿Están solos?
17:56.684,17:58.330,"Aquí están, sí, aquí tan solo."
18:04.150,18:06.130,Ella está tan tranquila.
18:09.510,18:14.290,"Yo lo veo igual, pero sí que me descoloca verlo tan cómodo."
18:15.430,18:17.570,"¿Mariona, estás preocupada?"
18:17.990,18:18.990,Un poco.
18:19.150,18:22.622,Estoy un poco preocupada porque yo no he visto nunca así.
18:22.646,18:23.430,A mí no.
18:24.240,18:25.656,¿Qué te está pasando por dentro?
18:25.768,18:30.920,"Necesito entender esa mirada, Mariona."
18:31.000,18:36.220,Esa mirada es lo que me sale cuando pienso que puede perderme.
18:38.880,18:41.560,"Veo que no, que no piensa en mí, que no me respeta."
18:41.640,18:46.552,"Lo veo cómodo, lo veo que la busca, que le gusta lo que le hace."
18:46.736,18:50.260,"Que no, que no, que yo eso no me lo imaginaba de él."
18:50.800,18:52.840,Crees que Adri se está acordando de ti.
18:52.920,18:54.920,"No, yo siempre se lo digo."
18:55.000,18:57.752,Es que yo doy más en la relación que tú.
18:57.816,19:00.200,"Que me sabe mal decírselo, pero él me lo reconoce."
19:00.280,19:05.980,"Entonces, si él me lo reconoce y ahora está haciendo eso, yo sé que no está pensando en mí."
19:07.280,19:08.580,Es que lo sé.
19:10.160,19:14.940,"Mariona, hay más imágenes para ti."
19:19.870,19:22.758,Con lo tranquilita que parecía y a él le gustaba.
19:22.854,19:24.662,Y que la busca él.
19:24.846,19:26.438,"Madre mía, el nivel de esa villa."
19:26.454,19:27.254,Te lo digo en serio.
19:27.302,19:28.166,Yo estoy en shock.
19:28.278,19:29.382,Yo estoy flipando.
19:29.526,19:30.774,Yo también estoy en shock.
19:30.822,19:32.570,Que no sé cómo reaccionar a esas cosas.
19:45.930,19:47.590,Me apetece conocerte.
19:48.490,19:54.230,Nunca he pensado en ser infiel hasta ahora.
19:55.770,19:57.670,"Hostia puta, colega."
19:59.210,20:00.418,Me quiere mirar.
20:00.514,20:01.750,Me quiere mirar.
20:03.530,20:05.830,Qué cojo siento.
20:06.330,20:28.156,"Hemos viento en popa, tía."
20:28.188,20:29.680,"Qué fuerte, chaval."
20:38.950,20:40.046,No lo entiendo.
20:40.238,20:40.958,¿Y ya está?
20:41.014,20:41.970,No lo entiendo.
20:42.710,20:47.294,"No me la imaginaba para nada en esta situación, tan cómodo, tumbado con ella."
20:47.422,20:48.126,Ni mucho menos.
20:48.158,20:52.814,"El comentario que ha soltado, que ni ya ni me acuerdo que ha dicho que nunca se había pensado ser infiel hasta ahora."
20:52.862,20:53.246,Hasta ahora.
20:53.278,20:54.830,Y que me gustas mucho.
20:54.870,20:57.230,"Mira, es que ni lo había escuchado, tío."
20:57.390,20:58.692,¿En serio ha dicho eso?
20:58.846,21:00.540,Que va abierto en popa.
21:01.040,21:03.580,"Me gusta mucho Moni también, antes."
21:03.920,21:05.900,Pues creo que lo deja muy claro.
21:07.120,21:08.380,Él mismo lo dice.
21:11.520,21:13.500,¿Perdonarías una infidelidad?
21:17.680,21:32.850,"Lo he pensado muchas veces y puede que sí, pero lo tendría que hablar con él y me tendría que dar sus explicaciones."
21:33.590,21:46.210,Pero no sé si es porque yo lo quiero mucho o porque me afectaría más una conexión que un beso tonto.
21:48.870,21:54.620,"Mariona, no hay más imágenes para ti."
21:55.120,21:56.780,"Gracias, tanta."
22:02.240,22:03.960,Tienes que analizar muy bien todo.
22:04.080,22:06.360,"Sí, no, ya lo pensaré después bien todo."
22:06.480,22:07.660,Pero es brutal.
22:10.160,22:17.182,Estoy decepcionada con Adri porque venía a demostrarme que me quería y que quería un futuro conmigo.
22:17.246,22:19.374,A demostrarme que tiene las cosas muy claras.
22:19.502,22:22.690,Y yo declaro aquí no veo nada.
22:24.870,22:28.850,"Ana, es tu turno."
22:30.790,22:35.166,¿Ver a Borja dejándose llevar con Andrea no te ha gustado?
22:35.278,22:38.286,¿Has llegado a considerar que Borja te ha decepcionado?
22:38.398,22:40.590,¿Incluso que te avergüenzas de su actitud?
22:40.750,22:41.358,Totalmente.
22:41.454,22:43.006,Esas actitudes me dan vergüenza.
22:43.118,22:44.478,Lo veo una falta de respeto.
22:44.574,22:48.450,Entonces no entiendo cómo no ha sido capaz de poner un poco de freno.
22:49.590,22:53.694,"Ana, hay imágenes de Borja para ti."
22:53.822,22:56.750,¿Quieres verlas sola todas o con tus compañeras?
22:56.830,22:57.570,Adelante.
22:58.150,23:01.246,"Dejamos y terminar la frase, por favor."
23:01.278,23:03.450,"Atentos a lo que di, por favor, a todos."
23:11.340,23:13.720,De mí no te escapas.
23:21.980,23:28.948,Yo nunca se me han pito nada.
23:28.964,23:33.320,"¿Pezón, qué te dice tu serpiente?"
23:34.340,23:35.920,No me dice nada bueno.
23:36.420,23:37.760,Escúchala.
23:38.900,23:43.760,Nada bueno sientes mía.
23:46.740,23:47.836,Es muy difícil esto.
23:47.908,23:51.080,"Al principio sí que te decía que tenía dudas y tal, pero ya no."
23:53.620,23:54.828,¿Dudas de qué?
23:54.964,23:56.572,De entre Valeria o ella.
23:56.636,23:58.360,"No, yo quiero pensar que era eso."
24:03.900,24:08.564,"Ana, es que yo cada vez que hablo cambio la versión."
24:08.612,24:11.636,"Ahora me preocupa una conexión, chicas."
24:11.748,24:13.000,Ya no sé qué decir.
24:14.380,24:16.532,¿Por qué te preocupa ahora una conexión?
24:16.676,24:20.676,"No sé, por las frases que estaba diciendo, como que uy, qué difícil, tal."
24:20.748,24:24.708,Sí que es verdad que el tocarle el pelito y eso lo veo más de conexión.
24:24.724,24:27.460,"No lo veo de en plan guarreo bailando, que era lo que no quería ver."
24:27.500,24:28.688,Pero es que esto tampoco lo quiero ver.
24:28.764,24:30.620,Es que no quiero ver nada.
24:32.080,24:34.504,¿Crees que han conectado un poco más Andrea y él?
24:34.592,24:36.184,Creo que han conectado un poco más.
24:36.272,24:42.872,Entonces creo que en esa situación sí que puedo empatizar un poco.
24:43.016,24:44.072,¿Por qué?
24:44.256,24:45.900,Porque a mí me ha pasado.
24:46.480,24:55.140,"Entonces, aunque me duela ver lo que puede tener una conexión con otra persona, pues bueno, pues lo puedo entender un poco más."
24:56.240,25:03.180,"No me deja de doler, no me deja de molestar, pero no tengo ese sentimiento de vergüenza de momento."
25:04.640,25:09.660,"Ana, hay más imágenes para ti."
25:24.490,25:29.190,Hago este llamado para que tú vuelvas.
25:37.530,25:38.962,Ese era el que estaba al lado de David.
25:39.026,25:39.910,Lo sabía.
25:40.730,25:43.750,"Mili, Mili, la cata, la cata."
25:45.850,25:46.674,Qué vergüenza.
25:46.722,25:47.870,Todos saben lo mismo.
25:52.360,25:59.968,"Escucha, que esto Oye, eres un bicho tú."
26:00.064,26:01.056,Mañana toca jacuzzi.
26:01.088,26:02.736,"Pasa a tu habitación, te voy a llevar."
26:02.768,26:03.520,Eso te lo digo.
26:03.600,26:07.024,Estoy en el borde del precipicio haciendo equilibrio.
26:07.072,26:10.660,"Pues ya cae, ya palo ha metido."
26:11.400,26:13.104,Sustí en el límite ya.
26:13.272,26:14.320,Bañate por esto.
26:14.360,26:25.608,Y a Cushi al límite del precipicio va a estar.
26:25.624,26:27.380,Ya te lo digo porque lo voy a empujar yo.
26:32.240,26:38.700,Esto es lo que no quería Noel.
26:40.400,26:41.688,No lo quería ver así.
26:41.744,26:42.454,Y ya está.
26:42.552,26:51.562,"Ya venía preparada para verlo encima ya cosas que salen de él que aún me duelen el triple, obviamente, porque sale de él."
26:51.746,26:53.706,"No es un juego, no sale de ella."
26:53.818,26:55.630,Ya es algo de su boca.
26:59.090,27:00.870,Estoy que no quiero llorar otra vez.
27:01.650,27:03.306,"Pues sí, es bueno llorar."
27:03.498,27:04.430,Es bueno.
27:06.290,27:07.034,Le tienes que sacar.
27:07.082,27:08.988,"Sácalo, Ana, eres persona."
27:09.154,27:10.056,Ya está.
27:10.208,27:11.688,Es que no lo reconozco.
27:11.784,27:12.460,Normal.
27:13.200,27:15.032,"Es que no es mi novio, tío."
27:15.176,27:17.100,"Es como si fuese otra persona, igual."
27:23.520,27:25.460,¿Qué le dirías a Borja ahora mismo?
27:29.840,27:35.572,"Le diría que sea consciente de lo que está haciendo y que lo que haga, que no se arrepienta."
27:35.736,27:40.560,"Porque yo para mí, un beso un beso tiene muchísimo valor."
27:41.300,27:43.084,Por eso yo no lo he dado todavía.
27:43.132,27:47.040,"Porque para mí tiene un valor increíble, un significado muy grande."
27:47.460,27:51.400,"Entonces, si lo da, que esté seguro de que lo doña."
27:52.020,27:56.812,"Que no sea una tontería, ni un calentón, ni un ah, que creía que era una conexión."
27:56.876,27:59.772,"No, que si la cague, que la cague de verdad."
27:59.836,28:02.100,Con dos cojones y con todas las de la ley.
28:03.550,28:09.210,"Ana, no hay más imágenes para ti."
28:09.790,28:10.570,Gracias.
28:14.990,28:18.870,Llevo tres años y medio con Borja y la verdad que parece otra persona.
28:18.950,28:20.118,Completamente diferente.
28:20.214,28:25.650,"Espero que algún día me pueda explicar qué es lo que le pasa por la cabeza, porque sinceramente, no sé quién es."
28:28.900,28:30.080,Es tu turno.
28:31.220,28:37.840,En la anterior hoguera fuiste congelada y no pudiste ver imágenes de Nico.
28:38.420,28:48.720,Este gesto ha provocado en ti un sinfín de dudas y además te ha ayudado a pensar que Nico se ha podido dejar llevar debajo de las sábanas.
28:49.780,28:51.520,¿Qué esperas ver esta noche?
28:52.500,29:00.138,"Realidad de lo que quiero ver es un único que ponga límites, que frene, que sepa dónde está, que sea consciente, que se acuerde de Ruth."
29:00.314,29:05.562,"La realidad que sé que voy a ver, pues es único, que se lo está pasando bien, que aumenta su conexión."
29:05.706,29:09.514,"Espero equivocarme, sinceramente, con la persona de debajo de la sábana."
29:09.642,29:18.510,"Y si lo es, pues no sé, Sandra, no te podría decir cómo podría reaccionar Ruth."
29:20.440,29:22.660,¿Hay imágenes de Nico para ti?
29:23.000,29:25.024,¿Quieres verla sola o con tus compañeras?
29:25.072,29:26.100,Con mi compañera.
29:29.240,29:33.220,"Ojo, por favor, por favor, por favor."
29:37.720,29:39.460,"Nicolás, por Dios."
29:45.500,29:47.268,"Hostia, el movimiento de Pauli."
29:57.180,29:58.080,"No, no."
30:07.980,30:09.860,A mí me gusta mucho recibir cariño.
30:09.940,30:11.560,Soy muy mimoso.
30:15.420,30:23.540,Eres un diab esta mierda diasto.
30:30.920,30:32.576,"Sandra, voy a hablarte ya directamente."
30:32.608,30:33.472,Me da asco.
30:33.616,30:34.880,Esas imágenes me dan asco.
30:34.960,30:37.940,Sigo viendo al mismo niño que vi en la primera hoguera.
30:38.440,30:39.040,¿Por qué?
30:39.080,30:39.700,¿Ruth?
30:40.280,30:41.024,Porque sí.
30:41.072,30:47.016,"Porque le he dado la suerte de traer mi vida, de conocerme, de conocer mis valores, de conocer realmente una mujer que lo quiere de verdad."
30:47.208,30:51.560,Y llegar aquí y verme con el puto hielo.
30:51.720,30:52.696,¿Qué haces con el hielo?
30:52.728,30:54.264,¿Sabiendo lo que eso me puede llegar a molestar?
30:54.312,30:55.180,¿Qué haces?
30:55.920,30:56.584,¿Qué haces?
30:56.632,30:57.900,Que no eres un niño.
30:58.320,31:00.168,"Madura, tío, y conquístala de otra manera."
31:00.184,31:02.344,"O que te conquiste de otra manera, no con el hielo."
31:02.472,31:03.980,"E innova, innova."
31:04.400,31:05.864,¿Por qué crees que lo hace?
31:06.032,31:07.384,"Porque es un niño, Sandra."
31:07.432,31:07.976,Porque es un niño.
31:08.008,31:08.232,¿Por qué?
31:08.256,31:10.360,"No está pensando con el cerebro, está pensando con lo de abajo."
31:10.440,31:11.096,¿Y por qué?
31:11.168,31:11.608,Porque sí.
31:11.624,31:13.456,Porque no tiene personalidad y se deja influenciar.
31:13.608,31:16.740,"Y por el ambiente de la villa, él venga, pa'lante."
31:23.640,31:25.104,Es que mi balanza se cae.
31:25.152,31:38.806,"¿Sandra lo que ha hecho Ruth, lo que ha hecho Nico qué has?"
31:38.928,31:41.710,"Tía, no, es que no puedo ver eso, tío."
31:42.290,31:44.110,Cógete un puto libro.
31:44.930,31:47.146,"No sé, vete a ver el puto Marco, la tía."
31:47.178,31:48.234,Pero no hagas eso.
31:48.322,31:49.470,Qué asco.
31:50.050,31:53.070,"Esa no es la persona de la que yo me enamoré, tío."
