Start Time,End Time,Sentence,Translation
02:26.552,02:28.184,Me estoy dejando llevar por lo que siento.,I'm getting carried away by how I feel.
02:28.312,02:31.432,Y siento que no le tengo que poner cuernos a mi novia ni de coña.,And I feel like I don't have to cheat on my girlfriend.
02:31.576,02:32.904,No estás mucho Moni.,You're not very Moni.
02:32.952,02:38.452,Nunca he pensado en ser infiel hasta ahora.,I've never thought of being unfaithful until now.
02:38.616,02:42.064,Yo a veces me enfado porque no entretengo al 100.,Sometimes I get angry because I don't entertain the 100.
02:42.074,02:42.800,%.,%.
02:44.420,02:46.924,"Chicos, bienvenidos a la hoguera.","Guys, welcome to the bonfire."
02:46.972,02:49.932,Álvaro fue un punto de inflexión en mi relación.,Álvaro was a turning point in my relationship.
02:49.996,02:52.636,No me preocupa absolutamente nada porque María se ríe de él.,I have absolutely nothing to worry about because Mary laughs at him.
02:52.708,02:55.040,"Si ahora aquí le hace caso, sería surrealista.","If he listens to you now, it would be surreal."
02:56.260,02:57.916,"Pero qué pollas, tío.","What a dick, man."
02:58.028,03:03.292,No me gusta que lleguen a la cama porque debajo de las sábanas la noche es muy traicionera.,I don't like them getting to bed because under the sheets the night is very treacherous.
03:03.356,03:05.356,No creo que quieras hacer un borrón y ya está.,I don't think you want to make a clean slate.
03:05.428,03:07.356,"Sí, sí, yo soy así.","Yeah, yeah, that's who I am."
03:07.508,03:08.828,Te saco de mi vida para siempre.,I'm taking you out of my life forever.
03:08.884,03:11.928,Teresa yendo a la pin no sé qué coño ha visto porque no ha visto nada.,Teresa going to the pin I don't know what the fuck she saw because she didn't see anything.
03:12.024,03:13.896,Y está hablando de unas formas de mí que no voy a permitir.,And he's talking about some ways of me that I won't allow.
03:13.928,03:15.340,Y no tengo ganas de estar aquí.,And I don't feel like being here.
03:16.400,03:19.400,¿Es solo Napoli el que busca a Ana?,Is it just Napoli who's looking for Ana?
03:19.480,03:20.872,"Sí, yo veo que es él.","Yeah, I see it's him."
03:21.056,03:21.980,Seguro.,Sure.
03:24.080,03:25.624,Cago en mi puta madre.,I shit on my fucking mother.
03:25.752,03:27.820,"Cago en mi puta madre, tío.","Shit on my fucking mother, man."
03:28.240,03:32.328,Los dos habéis mantenido relaciones sexuales en la isla de las Tentaciones.,You've both had sex on the island of temptations.
03:32.424,03:32.840,Correcto.,Right.
03:32.920,03:34.472,"¿Entonces, por qué estás tan enfadado?",Then why are you so angry?
03:34.536,03:35.432,Porque yo lo he hecho.,Because I've done it.
03:35.496,03:37.848,Porque ella se ha liado con él desde el primer día.,'Cause she's been messing with him since day one.
03:37.904,03:38.648,¿Te vas a reír de mí?,Are you going to laugh at me?
03:38.664,03:39.768,¿Y me río yo de ti?,And I'm laughing at you?
03:39.864,03:50.200,"Este es el collar del hemos decidido vetar a Álvaro porque como ya han tenido algo antes, quizás eso es más peligroso.","This is the necklace of the we have decided to veto Álvaro because as they have had something before, perhaps that is more dangerous."
03:52.140,03:54.600,"Chicas, bienvenidas a la hoguera.","Girls, welcome to the bonfire."
03:55.820,03:57.012,"Qué asco, hijo.","Gross, son."
03:57.076,03:57.988,Qué asco.,Gross.
03:58.084,03:58.356,Madre.,Mother.
03:58.388,03:59.080,Mía.,Mine.
04:00.460,04:01.940,Me cago mi rata.,Fuck my rat.
04:02.100,04:02.964,"Que no, mi novio.","Not at all, my boyfriend."
04:03.012,04:04.280,¿La habéis visto a mi novio?,Have you seen my boyfriend?
04:05.100,04:06.388,"Que va, tío, que va.","No, man, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no,"
04:06.524,04:27.940,"Déjame que me qué guarrillas esta, tío.","Let me get the hell out of this one, man."
04:32.200,04:33.296,"Que no puedo con esto, tío.","I can't handle this, man."
04:33.328,04:37.500,Que no puedo con esto de que los he visto dándose un beso ya.,I can't do this because I've seen them kissing already.
04:38.760,05:05.770,"Marieta, por favor, me gustaría que volvieras a la hoguera y se me duermen las putas manos, macho, que me Marieta, por favor, atiéndeme.","Marieta, please, I'd like you to go back to the stake and my fucking hands are falling asleep, ma'am, for Marieta, please take care of me."
05:07.630,05:09.210,Tienes que ser paciente.,You have to be patient.
05:10.230,05:12.930,Todavía no has visto imágenes de Álex.,You haven't seen images of Alex yet.
05:13.270,05:14.894,Es el turno de María.,It's Maria's turn.
05:15.022,05:16.770,Tendrás tiempo de verlas.,You'll have time to see them.
05:17.750,05:20.478,"Trata de estar tranquila, por favor.","Try to be calm, please."
05:20.654,05:21.886,"Lo siento, de verdad, María.","I'm really sorry, Maria."
05:21.918,05:26.290,"Lo siento, lo siento, lo siento.","I'm sorry, I'm sorry, I'm sorry."
05:28.310,05:29.330,Es usted.,It's you.
05:33.190,05:34.110,Lo siento por esto.,I'm sorry about this.
05:34.150,05:34.890,Que no.,"No, I don't."
05:40.870,05:46.290,"¿María, cuéntame, por favor, qué es lo que te han parecido estas imágenes?","Maria, tell me, please, what did you think of these images?"
05:47.510,05:51.970,Que me he quedado ya descolocado por lo que hemos visto por detrás.,I'm already out of place because of what we've seen from behind.
05:54.070,05:57.278,¿Pero cómo ves a David siendo David?,But how do you see David being David?
05:57.374,05:58.890,Se está pasando muy bien.,She's having a great time.
05:59.670,06:01.278,Le encanta la isla de la sentación.,He loves the island of the sitting.
06:01.294,06:04.986,¿Y te preocupa la conexión entre David y Zaira?,And you're worried about the connection between David and Zaira?
06:05.098,06:12.794,"Me preocupa, Sandra, que cuando llega aquí yo no pueda perdonarle y no me pueda sacar las imágenes de la cabeza por muy poco.","I'm worried, Sandra, that when he gets here, I can't forgive him, and I can't get the images out of my head for very little."
06:12.842,06:22.630,"Que según él porque eso sí, después él dirá no, si no he hecho nada, si no sé qué, que le conozco ya y me está jodiendo muchísimo la actitud que tiene.","That according to him because that is so, then he will say no, if I have not done anything, if I do not know what, that I know him already and he is very fucking with me the attitude that he has."
06:23.010,06:27.790,"María, hay más imágenes para ti.","Maria, there are more images for you."
06:29.970,06:34.222,"Madre mía, con el niño que pierde el tiempo.","Oh, my God, with the kid who's wasting his time."
06:34.326,06:35.730,No me pidas perdón.,Don't apologize to me.
06:36.630,06:37.870,No me pidas perdón por esto.,Don't apologize to me for this.
06:37.910,06:38.414,Nunca jamás.,Never again.
06:38.462,06:40.130,"Nunca, nunca, nunca.","Never, never, never."
06:59.870,07:01.110,"Está llorando, llorando.","She's crying, crying."
07:01.190,07:03.050,Que mal se lo pasa.,He's having a hard time.
07:05.070,07:05.850,Hola.,Hello.
07:07.390,07:08.170,Hola.,Hello.
07:09.310,07:10.518,Hazme cosquillitas.,Make me ticklish.
07:10.534,07:11.734,"Así, hazme cosquillita.","So, make me tickle."
07:11.782,07:15.010,Dicen tú no te has enamorado en tu vida.,They say you have not fallen in love in your life.
07:16.030,07:18.170,"Ni tú, ni tú.","Not you, not you."
07:19.390,07:20.410,Yo sí.,I do.
07:34.630,07:35.570,Hola.,Hello.
07:42.150,07:43.890,"Qué retrasados son, tíos.",You guys are so retarded.
07:47.110,07:52.970,"Madre mía, que se la tire ya.","Oh, my God, let me throw it at her now."
07:53.360,07:55.032,Si es que se la ha tirado ya casi.,If he's almost fucked her.
07:55.096,07:55.980,¿Qué le falta?,What's missing?
07:56.400,07:58.008,"¿Qué le falta, Sandra?","What's missing, Sandra?"
07:58.184,08:01.640,¿Y después has estado una vez enamorada en tu vida?,And then you've been in love once in your life?
08:01.680,08:03.220,Y le dice él no.,And he says no.
08:04.320,08:06.060,¿Entonces qué haces aquí?,Then what are you doing here?
08:06.480,08:07.980,Mentiroso.,Liar.
08:09.680,08:11.860,No quiero llorar por él más.,I don't want to cry for him anymore.
08:12.160,08:13.900,Mentiroso de mierda.,Liar of shit.
08:14.880,08:17.260,"¿Si no está enamorado, qué coño hace aquí?","If he's not in love, what the hell is he doing here?"
08:17.600,08:19.420,¿Y a mí por qué me dice que sí?,Why do you say yes to me?
08:19.810,08:20.990,¿Para qué me miente?,Why are you lying to me?
08:21.730,08:26.030,"Me está dando mucho asco, mucha pena y mucho todo todos juntos.","It's making me very disgusted, very sorry and very much all together."
08:26.770,08:29.550,Pero esa no es la persona de la que yo me enamoré.,But that's not the person I fell in love with.
08:35.170,08:37.866,¿Qué hace el tonto?,What's the fool doing?
08:37.978,08:39.658,El tonto es lo que hace el tonto.,The fool is what the fool does.
08:39.754,08:41.594,¿Y que por qué me lo hace a mí?,And why do you do it to me?
08:41.722,08:49.240,"Tiene la puta oportunidad de demostrarte y más en su puta vida, tío, en su puta vida va a cambiar este tío.","He's got a fucking chance to show you and more in his fucking life, man, in his fucking life this guy's gonna change."
08:50.060,08:52.480,Que no tenías que haber estado con un chico como él.,That you shouldn't have been with a boy like him.
08:55.260,08:57.620,"Muy de tonto en tonto, chaval.","Pretty dumb-ass, kiddo."
08:57.780,08:59.160,Es que me encanta.,I just love it.
09:00.140,09:01.800,"¿Por qué estás así, María?","Why are you like this, Maria?"
09:02.780,09:05.156,Creo que no es consciente de lo que está haciendo.,I don't think he's aware of what he's doing.
09:05.188,09:10.452,Y cuando sea consciente se va a dar un puto golpe de realidad que no se lo va a creer ni él.,"And when he's conscious, he's going to give himself a fucking blow of reality that he won't believe."
09:10.636,09:14.412,Y yo lo que no voy a hacer es comerme esto y encima salir de aquí con él.,And what I'm not going to do is eat this and get out of here with him.
09:14.436,09:15.052,Ya te lo digo yo.,I'll tell you.
09:15.076,09:17.212,Yo miedo no me como más de ningún tío.,I'm afraid I don't eat more of any uncle.
09:17.356,09:18.720,No me da la gana.,I don't feel like it.
09:19.380,09:24.800,"María, aún hay más imágenes para ti.","Mary, there are still more images for you."
09:25.940,09:32.320,"Joder, espérate, que todavía, todavía es el del folleteo, el documental.","Fuck, wait, it's still the one with the fuck, the documentary."
09:33.060,09:37.840,"Da igual, como me Lali se va a cagar porque le va a faltar República Dominicana para correr.",It doesn't matter how Lali's going to shit because she's going to be short of the Dominican Republic to run.
09:44.260,09:55.676,"No, no ser imbécil.","No, not being an asshole."
09:55.788,09:56.960,Es celoso.,He's jealous.
09:59.620,10:08.770,"No está él, lo está haciendo el Tía, gracias por no, tía, no, no.","It's not him, Auntie's doing it, thank you for not, Auntie, no, no."
10:10.510,10:13.798,"Ella se lo dejó bien claro, que no querían que tocaran ese puto peluche.",She made it very clear to him that they didn't want them to touch that fucking teddy.
10:13.894,10:15.370,Te lo dejo clarísimo.,I'll make it very clear to you.
10:18.830,10:19.286,¿Ves?,See?
10:19.318,10:19.942,Él no sabe.,He doesn't know.
10:20.006,10:21.046,David de eso no se ha enterado.,David didn't know about that.
10:21.078,10:22.450,Eso no lo sabe él.,He doesn't know that.
10:24.750,10:26.230,¿Te ha gustado?,Did you like it?
10:26.390,10:27.450,Un montón.,A lot.
10:28.990,10:30.102,No me toque.,Don't touch me.
10:30.166,10:31.450,Qué romántica ella.,How romantic of her.
10:37.110,10:39.010,"Él no lo sabe, María.","He doesn't know, Mary."
10:41.030,10:44.974,"Me da igual, que si te tienen que joder, te va a joder.","I don't care, if they have to fuck you, it's gonna fuck you up."
10:45.022,10:45.730,María.,Maria.
10:50.790,10:52.330,¿Por qué hace eso?,Why do you do that?
10:53.590,10:55.134,"¿Por qué hace eso, tío?","Why are you doing that, man?"
10:55.182,10:57.022,Que es mi puto peluche.,That's my fucking teddy.
10:57.166,10:57.930,¿Qué hace?,What are you doing?
11:00.250,11:02.194,"Yo te entiendo, María.","I understand you, Maria."
11:02.322,11:05.030,¿Por qué es tan importante ese peluche para ti?,Why is that teddy so important to you?
11:05.850,11:12.178,"Porque sí, porque me lo regaló David y cuando yo he estado en Madrid muy mal, ha sido lo que me ha acompañado siempre.","For yes, because David gave it to me and when I was in Madrid very badly, it was what has always been with me."
11:12.234,11:14.950,Y para mí tiene muchísimo valor sentimental.,And for me it has a great deal of sentimental value.
11:15.530,11:19.538,"Y encima lleva una pulsera, que es la que llevo yo.","And she wears a bracelet, which is what I wear."
11:19.674,11:22.230,Y no quiero que nadie toque ese peluche.,And I don't want anyone touching that teddy.
11:35.460,11:38.092,"Yo te entiendo, pero él no tiene culpa porque no lo sabía.","I understand you, but he's not to blame because he didn't know."
11:38.236,11:39.292,Ya lo sé.,I know.
11:39.476,11:43.040,"Si él lo hubiera permitido lo entiendo, pero él no lo sabe.","If he had allowed it, I understand, but he doesn't know."
11:44.820,11:50.560,¿Crees que David sabe que Zaira ha tocado tu peluche?,Do you think David knows Zaira touched your teddy?
11:51.060,11:53.280,"No, yo sé que no lo sabe.","No, I know you don't."
11:53.830,11:55.422,¿Tiene nombre ese peluche?,Does that teddy have a name?
11:55.486,11:57.570,"Sí, se llama Arbolito.","Yes, his name is Arbolito."
12:00.550,12:02.382,¿Arbolito o Alvarito?,Arbolito or Alvarito?
12:02.446,12:03.022,Arbolito.,Arbolito.
12:03.086,12:08.130,Arbolito estaría bueno.,Arbolito would be good.
12:09.190,12:11.490,¿Y por qué se llama Arbolito?,"And why is it called ""Arbolito""?"
12:12.550,12:17.214,Porque es el primer disfraz que llevó David de la isla de las tentaciones.,Because it is the first disguise that David wore of the island of temptations.
12:17.342,12:21.566,"Y mis compañeras le parece un arbolito, Arbolito, Arbolito.","And my companions seem a little tree, Arbolito, Arbolito."
12:21.598,12:24.622,Y se le quedó todo el programa con Arbolito.,And he kept the whole show with Arbolito.
12:24.766,12:28.130,"Entonces, cuando me lo regaló le vamos a poner el arbolito.","Then when he gave it to me, we'll put the tree on it."
12:28.790,12:34.130,"María, no hay más imágenes para ti.","Maria, there are no more images for you."
12:35.270,12:36.330,Menos mal.,Good thing.
12:37.670,12:39.182,No estoy reconociendo al David.,I'm not recognizing David.
12:39.246,12:41.038,No es el David del que yo me enamoré.,It's not the David I fell in love with.
12:41.054,12:44.382,No es mi novio con el que entré aquí y espero el asiento.,He's not my boyfriend I walked in here with and waited for the seat.
12:44.446,12:47.140,Era ver que nos siguen esta misma actitud.,It was to see that this same attitude followed us.
12:48.920,12:51.060,"Mariona, es tu turno.","Mariona, it's your turn."
12:52.680,12:58.980,"En la anterior hoguera, la actitud de Adri con Eva te dejó absolutamente descolocada.","At the previous bonfire, Adri's attitude with Eve left you absolutely unsettled."
12:59.320,13:05.328,La tensión entre ellos y los juegos te hicieron sentir un poco de miedo.,The tension between them and the games made you feel a little scared.
13:05.504,13:08.640,"Sí, Sandra, yo la verdad es que no me lo imaginaba.","Yeah, Sandra, I really didn't think so."
13:08.720,13:15.442,"Los juegos sí, pero todo lo que supere algo que no es un juego, a mí es que ni lo concebía de Adri.","The games do, but all that overcomes something that is not a game, to me it is that I did not conceive of Adri."
13:15.506,13:16.790,Ni me lo imaginaba.,I didn't even think so.
13:19.130,13:24.450,"Mariona, hay imágenes de Adri para ti.","Mariona, there are images of Adri for you."
13:24.610,13:26.722,¿Quieres verla sola o con tus compañeras?,Do you want to see her alone or with your companions?
13:26.786,13:27.602,Con mis compañeras.,With my companions.
13:27.666,13:33.590,Adelante todas colocándonos antes de que ella nos llevamos una sorpresa.,"Go ahead, all of us, putting ourselves on before she takes us a surprise."
13:36.410,13:37.350,De verdad.,Really.
13:46.170,13:46.930,¿Es la misma?,Is it the same?
13:47.010,13:47.474,Es la misma.,It's the same.
13:47.522,13:48.550,¿Es Eva?,Is it Eva?
13:49.930,13:52.786,"No, esa es Mónica.","No, that's Monica."
13:52.898,13:54.626,Mónica es otra.,Monica is another.
13:54.658,13:55.474,Esa Mónica.,That Monica.
13:55.522,13:57.186,¿Tú conmigo crees que podría hacer algo?,You think I could do something with me?
13:57.258,13:57.986,Sí.,Yeah.
13:58.178,13:59.110,De verdad.,Really.
14:00.330,14:01.842,Esa es la boquita muerta.,That's the dead mouth.
14:01.986,14:03.512,Me atraes físicamente un montón.,I'm attracted to you physically a lot.
14:03.626,14:05.120,"Hoy en el baile, por ejemplo.","Today at the dance, for example."
14:08.180,14:09.020,Tremendo.,Tremendous.
14:09.180,14:10.800,Ya me estoy rindiendo.,I'm already giving up.
14:13.460,14:15.100,¿Esa Seba o Mónica?,That Seba or Monica?
14:15.260,14:17.600,"Mónica, la que va de blanco.","Monica, the one in white."
14:22.180,14:23.320,Tú a mí también.,"You, too."
14:23.940,14:30.160,¿Vamos a jugar qué dice el bar?,Are we going to play what the bar says?
14:38.380,14:39.988,"Bueno, bueno.","Well, well."
14:40.164,14:41.204,A mí no me gusta.,I don't like it.
14:41.292,14:42.280,A mí me encanta.,I love it.
14:43.900,14:47.140,"Ahora mismo estoy súper cómodo, no me hace falta más.","I'm super comfortable right now, I don't need it anymore."
14:47.260,14:48.516,Pues adelante.,Then go ahead.
14:48.708,14:56.250,"Para atrás ni para coger impulso a veces, que me quede claro.","Stand back, not to gain momentum at times, let me be clear."
14:56.330,15:03.578,Me siento súper a gusto ahora.,I feel super comfortable now.
15:03.594,15:05.018,Es que están todos enamorados.,They're all in love.
15:05.114,15:06.670,Es que yo me quedo loca.,It's just that I'm going crazy.
15:09.250,15:17.146,"Ya lo dijo Andrea, que las mosquitas muertas a mí no me ha quedado muy claro quién es quién, porque no las tengo tan vistas.","Andrea already said it, that the dead mosquitoes to me has not been very clear to me who is who, because I do not have so much view of them."
15:17.178,15:19.550,Pero yo lo único que veo es que va cambiando.,But all I see is that it's changing.
15:20.220,15:22.840,La chica de las imágenes es Mónica.,The girl in the pictures is Monica.
15:23.340,15:24.580,Todo el rato era Mónica.,It was Monica all the time.
15:24.660,15:25.960,Todo el rato era Mónica.,It was Monica all the time.
15:27.820,15:36.120,"Los juegos me dan igual, pero cuando hablaban parecía un poco de complicidad.","I don't care about the games, but when they talked, it seemed a bit of complicity."
15:37.340,15:40.980,¿Te quedas más tranquila al ver Adri con Mónica?,Will you stay calm when you see Adri with Monica?
15:41.140,15:48.582,"No sé sus motivos, pero supongo que serán porque le atrae más y le aporta algo más.","I don't know your reasons, but I guess it's because it attracts you more and brings you something more."
15:48.766,15:50.934,Entonces quizás sí que me preocupa un poco.,Then maybe I'm a little worried.
15:51.102,15:53.770,¿Crees que Mónica puede ser su prototipo?,Do you think Monica could be his prototype?
15:54.190,15:55.974,"Yo creo que sí, que puede ser su prototipo.","I think so, which may be his prototype."
15:56.022,16:01.878,"Sandra, estás muy nerviosa.","Sandra, you're so nervous."
16:01.894,16:03.050,"Marion, ahora.","Marion, now."
16:09.390,16:10.630,Es que no lo entiendo.,I just don't get it.
16:10.710,16:20.660,"Tipo tía, pero desahógate, no pasa nada.","Auntie, but let it go, it's all right."
16:24.200,16:31.220,"Primero con una, después de los juegos, no sé qué, y ahora con esta, que le veo complicidad.","First with one, after the games, I don't know what, and now with this, that I see him complicity."
16:33.560,16:36.800,Es que yo confío en Adri.,It's just that I trust Adri.
16:36.960,16:39.502,"Y no he venido aquí a descubrir, confiar de él.","And I didn't come here to find out, trust him."
16:39.686,16:43.730,"He venido aquí a que me demuestre cosas, no a que me desdemuestre.","I've come here to show myself things, not to be dismayed."
16:46.230,17:01.010,"Mariona, hay más imágenes para ti ahora.","Mariona, there are more images for you now."
17:14.740,17:15.720,¿Qué hay?,What's up?
17:16.900,17:18.396,"Tía, qué vergüenza.","Auntie, what a shame."
17:18.508,17:19.600,Qué vergüenza.,Shame on you.
17:24.980,17:26.680,"¿Qué tímida es, no?","She's shy, isn't she?"
17:27.380,17:28.640,Es súper tímida.,She's super shy.
17:30.420,17:31.440,Qué vergüenza.,Shame on you.
17:32.340,17:33.484,Mira que tímida.,Look how shy.
17:33.532,17:34.828,Mira a mi novio.,Look at my boyfriend.
17:34.844,17:36.060,"¿Lo veo cómodo, sabes?","I think it's comfortable, you know?"
17:36.140,17:37.580,"No, no, sufriendo no estaba.","No, no, he wasn't in pain."
17:37.660,17:47.196,"No, pero es que va él a ella sí, eso fue un juego.","No, but he's going to her, yes, that was a game."
17:47.228,17:47.820,¿Pero qué hace?,What are you doing?
17:47.860,17:48.460,¿Pero qué hace?,What are you doing?
17:48.500,17:49.480,¿Pero qué hace?,What are you doing?
17:51.540,17:54.320,"Pero es que míralo, la cara que pone, tío.","But look at him, his face, man."
17:56.020,17:56.668,¿Están solos?,Are you alone?
17:56.684,17:58.330,"Aquí están, sí, aquí tan solo.","Here they are, yes, here alone."
18:04.150,18:06.130,Ella está tan tranquila.,She's so calm.
18:09.510,18:14.290,"Yo lo veo igual, pero sí que me descoloca verlo tan cómodo.","I see it the same way, but I do not see it so comfortable."
18:15.430,18:17.570,"¿Mariona, estás preocupada?","Mariona, are you worried?"
18:17.990,18:18.990,Un poco.,A little.
18:19.150,18:22.622,Estoy un poco preocupada porque yo no he visto nunca así.,I'm a little worried because I've never seen it like this.
18:22.646,18:23.430,A mí no.,Not me.
18:24.240,18:25.656,¿Qué te está pasando por dentro?,What's going on inside you?
18:25.768,18:30.920,"Necesito entender esa mirada, Mariona.","I need to understand that look, Mariona."
18:31.000,18:36.220,Esa mirada es lo que me sale cuando pienso que puede perderme.,That look is what comes out of me when I think it might lose me.
18:38.880,18:41.560,"Veo que no, que no piensa en mí, que no me respeta.","I see you don't, you don't think of me, you don't respect me."
18:41.640,18:46.552,"Lo veo cómodo, lo veo que la busca, que le gusta lo que le hace.","I see you're comfortable, I see you're looking for her, you like what you do to her."
18:46.736,18:50.260,"Que no, que no, que yo eso no me lo imaginaba de él.","No, no, that I didn't think of him."
18:50.800,18:52.840,Crees que Adri se está acordando de ti.,You think Adri is remembering you.
18:52.920,18:54.920,"No, yo siempre se lo digo.","No, I always tell him."
18:55.000,18:57.752,Es que yo doy más en la relación que tú.,It's just that I give more in the relationship than you do.
18:57.816,19:00.200,"Que me sabe mal decírselo, pero él me lo reconoce.","I don't know how to tell him, but he recognizes me."
19:00.280,19:05.980,"Entonces, si él me lo reconoce y ahora está haciendo eso, yo sé que no está pensando en mí.","So, if he recognizes me and now he's doing that, I know he's not thinking of me."
19:07.280,19:08.580,Es que lo sé.,I just know.
19:10.160,19:14.940,"Mariona, hay más imágenes para ti.","Mariona, there are more images for you."
19:19.870,19:22.758,Con lo tranquilita que parecía y a él le gustaba.,"As calm as he seemed, he liked it."
19:22.854,19:24.662,Y que la busca él.,And he's looking for her.
19:24.846,19:26.438,"Madre mía, el nivel de esa villa.","Oh, my God, the level of that villa."
19:26.454,19:27.254,Te lo digo en serio.,I'm serious.
19:27.302,19:28.166,Yo estoy en shock.,I'm in shock.
19:28.278,19:29.382,Yo estoy flipando.,I'm freaking out.
19:29.526,19:30.774,Yo también estoy en shock.,"I'm in shock, too."
19:30.822,19:32.570,Que no sé cómo reaccionar a esas cosas.,I don't know how to react to these things.
19:45.930,19:47.590,Me apetece conocerte.,I'd like to meet you.
19:48.490,19:54.230,Nunca he pensado en ser infiel hasta ahora.,I've never thought of being unfaithful until now.
19:55.770,19:57.670,"Hostia puta, colega.","Holy shit, buddy."
19:59.210,20:00.418,Me quiere mirar.,He wants to look at me.
20:00.514,20:01.750,Me quiere mirar.,He wants to look at me.
20:03.530,20:05.830,Qué cojo siento.,I feel so lame.
20:06.330,20:28.156,"Hemos viento en popa, tía.","We've winded in the stern, Auntie."
20:28.188,20:29.680,"Qué fuerte, chaval.","That's tough, kid."
20:38.950,20:40.046,No lo entiendo.,I don't understand.
20:40.238,20:40.958,¿Y ya está?,That's it?
20:41.014,20:41.970,No lo entiendo.,I don't understand.
20:42.710,20:47.294,"No me la imaginaba para nada en esta situación, tan cómodo, tumbado con ella.","I didn't imagine her at all in this situation, so comfortable, lying with her."
20:47.422,20:48.126,Ni mucho menos.,Not at all.
20:48.158,20:52.814,"El comentario que ha soltado, que ni ya ni me acuerdo que ha dicho que nunca se había pensado ser infiel hasta ahora.","The comment that has been released, that I can't even remember that he said that he had never thought of being unfaithful until now."
20:52.862,20:53.246,Hasta ahora.,Until now.
20:53.278,20:54.830,Y que me gustas mucho.,And I like you a lot.
20:54.870,20:57.230,"Mira, es que ni lo había escuchado, tío.","Look, I didn't even hear it, man."
20:57.390,20:58.692,¿En serio ha dicho eso?,Did he really say that?
20:58.846,21:00.540,Que va abierto en popa.,It's open in the stern.
21:01.040,21:03.580,"Me gusta mucho Moni también, antes.","I like Moni a lot, too, before."
21:03.920,21:05.900,Pues creo que lo deja muy claro.,"Well, I think it makes that very clear."
21:07.120,21:08.380,Él mismo lo dice.,He says so himself.
21:11.520,21:13.500,¿Perdonarías una infidelidad?,Would you forgive an infidelity?
21:17.680,21:32.850,"Lo he pensado muchas veces y puede que sí, pero lo tendría que hablar con él y me tendría que dar sus explicaciones.","I've thought about it many times, and I might have to, but I'd have to talk to him, and he'd have to explain it to me."
21:33.590,21:46.210,Pero no sé si es porque yo lo quiero mucho o porque me afectaría más una conexión que un beso tonto.,But I don't know if it's because I love him very much or because a connection would affect me more than a silly kiss.
